strategy,scenario_type,severity_level,disturbance_flag,recommendation_status,difficult_cases,mean_quality_score,worst_quality_score,mean_gap_mean,max_gap_mean,parallelism_error_mean,total_group_cases,difficult_case_share_percent
batch_adaptive_setting,disturbed_batch,high,disturbed,OUT_OF_CORRECTION_RANGE,42,8.602163270275534,18.567438976381546,4.075181150566442,8.718422853170981,14.299276026511208,50,84.0
batch_adaptive_setting,tilt_dominant,medium,normal,OUT_OF_CORRECTION_RANGE,30,5.126348372910239,8.349700528899925,2.314681660838978,4.727596198856564,9.153699537953315,50,60.0
batch_adaptive_setting,tilt_dominant,high,normal,OUT_OF_CORRECTION_RANGE,28,6.747516440013308,12.730553874099185,3.049005381413969,6.235464711133917,12.032752727718858,50,56.00000000000001
batch_adaptive_setting,mixed,medium,normal,OUT_OF_CORRECTION_RANGE,27,4.086083310236297,7.841046383151056,1.8723012890296582,4.053430273660678,6.966091112078559,50,54.0
batch_adaptive_setting,twist_dominant,high,normal,REWORK_REQUIRED,26,1.8265922543024353,2.4867354200783427,0.8426898060706898,1.761823993428601,3.153279527733648,50,52.0
batch_adaptive_setting,fixture_drift,medium,normal,REWORK_REQUIRED,25,1.813990970188283,2.47037703837044,0.8182874579469673,1.7442724050454637,3.167266058511119,50,50.0
batch_adaptive_setting,mixed,high,normal,OUT_OF_CORRECTION_RANGE,25,4.755863508273784,10.029767167459305,2.2209190587304253,4.748412550986829,8.016241795118654,50,50.0
batch_adaptive_setting,offset_dominant,high,normal,REWORK_REQUIRED,23,1.6978867987861554,2.470889041623846,1.4362521529392152,2.176937251648074,1.5410473039755521,50,46.0
batch_adaptive_setting,tilt_dominant,low,normal,REWORK_REQUIRED,22,1.7089129467589812,2.456914492809413,0.7673163981704992,1.6063149145304434,3.026449749987523,50,44.0
batch_adaptive_setting,waviness_dominant,high,normal,REWORK_REQUIRED,20,1.6748847786097767,2.074336184168555,0.7707066994512974,1.7467553294591671,2.7590794531689733,50,40.0
batch_adaptive_setting,fixture_drift,low,normal,REWORK_REQUIRED,19,1.3307251553058346,1.596917767477247,0.6158866233751723,1.28515050428767,2.298759405370319,50,38.0
batch_adaptive_setting,mixed,low,normal,REWORK_REQUIRED,19,1.9156650471977912,2.494564190829648,0.8970972593274231,1.9087058800307652,3.232174119157487,50,38.0
batch_adaptive_setting,fixture_drift,high,normal,REWORK_REQUIRED,18,1.7959655390694043,2.49773288309411,0.7964545392909738,1.80957025979646,3.0649335473180983,50,36.0
batch_adaptive_setting,tilt_dominant,low,normal,OUT_OF_CORRECTION_RANGE,18,3.3905144270655194,4.146663039421165,1.5349750344569955,3.109123039103466,6.066772022260085,50,36.0
batch_adaptive_setting,bend_dominant,high,normal,REWORK_REQUIRED,17,1.6875640787752146,2.272859470796141,0.9147848212192846,1.6450992613998083,2.7204155861224333,50,34.0
batch_adaptive_setting,twist_dominant,medium,normal,REWORK_REQUIRED,16,1.4499986907258278,1.7939012775578125,0.6611166172003826,1.3764054551196943,2.5390962954748337,50,32.0
batch_adaptive_setting,mixed,high,normal,REWORK_REQUIRED,15,1.8365480972818915,2.364619771104615,1.0415793806592517,2.156999403640708,2.5214036341016017,50,30.0
batch_adaptive_setting,mixed,low,normal,OUT_OF_CORRECTION_RANGE,15,3.1094912588260057,5.389973584450169,1.4121464291672547,3.0736452599077726,5.327562150311903,50,30.0
batch_adaptive_setting,tilt_dominant,medium,normal,REWORK_REQUIRED,13,1.6913284580783359,2.2590771061344825,0.7542208516006004,1.6282004273048858,2.9630817734311945,50,26.0
batch_adaptive_setting,mixed,medium,normal,REWORK_REQUIRED,11,1.9065367137800175,2.3779880003288505,0.9837467883433064,2.0660727925576126,2.923580294300066,50,22.0
batch_adaptive_setting,tilt_dominant,high,normal,REWORK_REQUIRED,9,1.9007214196066942,2.337077344705233,0.8558825619497187,1.8422536264081169,3.3066871615501485,50,18.0
batch_adaptive_setting,bend_dominant,medium,normal,REWORK_REQUIRED,8,1.470968071892887,1.630816631064698,0.8202408452739335,1.4331570353605927,2.3444343833929167,50,16.0
batch_adaptive_setting,fixture_drift,high,normal,OUT_OF_CORRECTION_RANGE,8,3.070870359455412,3.9307491813603614,1.4050974301785915,2.95910018959759,5.33011591495938,50,16.0
batch_adaptive_setting,offset_dominant,medium,normal,REWORK_REQUIRED,7,1.4417024115796444,2.22554329408945,1.4758414746228947,1.9061431708509609,0.9202727330490555,50,14.000000000000002
batch_adaptive_setting,waviness_dominant,medium,normal,REWORK_REQUIRED,6,1.3574354764906607,1.5725009466499729,0.6484310971966395,1.4148996394385156,2.208136235811352,50,12.0
batch_adaptive_setting,disturbed_batch,high,disturbed,REWORK_REQUIRED,5,2.1106359417839036,2.487563576439136,1.3793669773989108,2.5763139811458062,2.5626908796546815,50,10.0
batch_adaptive_setting,fixture_drift,medium,normal,OUT_OF_CORRECTION_RANGE,4,2.5910289401366207,2.619301331337604,1.2071742129258696,2.3833449169730345,4.5873976232507285,50,8.0
batch_adaptive_setting,offset_dominant,high,normal,OUT_OF_CORRECTION_RANGE,2,2.646177985121601,2.762227364390315,2.491254231367769,3.4812600058365994,1.9947453304427376,50,4.0
batch_adaptive_setting,offset_dominant,medium,normal,MANUAL_REVIEW,2,0.8776867483656703,0.9227333806814544,1.1457745881369852,1.2736093709444352,0.1235543992098828,50,4.0
global_best_fixed_setting,disturbed_batch,high,disturbed,OUT_OF_CORRECTION_RANGE,50,8.525558875838623,12.10692813448696,3.8664573992800957,8.820930399769603,14.206703857713443,50,100.0
global_best_fixed_setting,tilt_dominant,high,normal,OUT_OF_CORRECTION_RANGE,36,6.528421801267529,9.766842158868188,2.94174632711293,6.031341774424515,11.653965980530224,50,72.0
global_best_fixed_setting,tilt_dominant,medium,normal,OUT_OF_CORRECTION_RANGE,35,4.923176980926333,7.099707818483712,2.2240171829465325,4.537097744772227,8.79264094198285,50,70.0
global_best_fixed_setting,offset_dominant,high,normal,REWORK_REQUIRED,32,1.653904817387415,2.4999528113252607,1.4294578169806047,2.1068478145593152,1.4766111451875794,50,64.0
global_best_fixed_setting,mixed,high,normal,OUT_OF_CORRECTION_RANGE,31,4.554558023274526,7.347287462742124,2.1263764706331063,4.625902654302655,7.598800727672969,50,62.0
global_best_fixed_setting,mixed,medium,normal,OUT_OF_CORRECTION_RANGE,29,4.079009816829617,5.497458309883871,1.8578349720834668,4.0720401349145945,6.943752467805417,50,57.99999999999999
global_best_fixed_setting,twist_dominant,high,normal,REWORK_REQUIRED,26,1.8305377138067032,2.4867354200783427,0.8529174399683439,1.7624311546254792,3.153279527733648,50,52.0
global_best_fixed_setting,fixture_drift,medium,normal,REWORK_REQUIRED,25,1.8118379679456746,2.47037703837044,0.8130114718371161,1.7442656107784011,3.167266058511119,50,50.0
global_best_fixed_setting,tilt_dominant,low,normal,REWORK_REQUIRED,22,1.7089129467589812,2.456914492809413,0.7673163981704992,1.6063149145304434,3.026449749987523,50,44.0
global_best_fixed_setting,fixture_drift,high,normal,REWORK_REQUIRED,21,1.7605107871087515,2.4968450411574192,0.7913256530762043,1.762150597531247,3.00748843875113,50,42.0
global_best_fixed_setting,mixed,low,normal,REWORK_REQUIRED,21,1.8786862465271195,2.494564190829648,0.8739172191998238,1.9083684510765608,3.1394128703639472,50,42.0
global_best_fixed_setting,waviness_dominant,high,normal,REWORK_REQUIRED,20,1.6748847786097767,2.074336184168555,0.7707066994512974,1.7467553294591671,2.7590794531689733,50,40.0
global_best_fixed_setting,fixture_drift,low,normal,REWORK_REQUIRED,19,1.3307251553058346,1.596917767477247,0.6158866233751723,1.28515050428767,2.298759405370319,50,38.0
global_best_fixed_setting,tilt_dominant,low,normal,OUT_OF_CORRECTION_RANGE,18,3.3905144270655194,4.146663039421165,1.5349750344569955,3.109123039103466,6.066772022260085,50,36.0
global_best_fixed_setting,bend_dominant,high,normal,REWORK_REQUIRED,17,1.6824487433822137,2.2351793210094337,0.9066817264027568,1.6402695217217194,2.7204155861224333,50,34.0
global_best_fixed_setting,mixed,low,normal,OUT_OF_CORRECTION_RANGE,17,2.895656356708194,3.418371603950176,1.3114547352000496,2.8400825307400015,4.989698744467608,50,34.0
global_best_fixed_setting,twist_dominant,medium,normal,REWORK_REQUIRED,16,1.4494011879264406,1.7939012775578125,0.6593685080223849,1.376414176446901,2.5390962954748337,50,32.0
global_best_fixed_setting,mixed,high,normal,REWORK_REQUIRED,12,1.7179032297377523,2.2634641835485083,1.0537870987318898,2.0439609014438624,2.231402020702499,50,24.0
global_best_fixed_setting,mixed,medium,normal,REWORK_REQUIRED,11,1.9868764426838155,2.388096764876856,0.9466642708449219,2.1527103766042197,3.1504313009373033,50,22.0
global_best_fixed_setting,tilt_dominant,high,normal,REWORK_REQUIRED,11,1.868331661607415,2.4958635637004067,0.842406703681725,1.8289559364754524,3.22974879392374,50,22.0
global_best_fixed_setting,offset_dominant,medium,normal,REWORK_REQUIRED,9,1.4415313615055982,1.878356705049658,1.2759890399141514,1.891629173848635,1.1931442225357956,50,18.0
global_best_fixed_setting,bend_dominant,medium,normal,REWORK_REQUIRED,8,1.4667611248408907,1.630816631064698,0.8109211120990667,1.4306998439385623,2.3444343833929167,50,16.0
global_best_fixed_setting,fixture_drift,high,normal,OUT_OF_CORRECTION_RANGE,8,2.8496804862818754,3.368877788112577,1.2987666672902045,2.783238242347629,4.914957361814204,50,16.0
global_best_fixed_setting,tilt_dominant,medium,normal,REWORK_REQUIRED,8,1.7468831707771253,2.2590771061344825,0.7822341930676429,1.6811754306037288,3.055918127845424,50,16.0
global_best_fixed_setting,waviness_dominant,medium,normal,REWORK_REQUIRED,6,1.3561935025874743,1.5768415402718057,0.6442511487554179,1.41503115784839,2.208136235811352,50,12.0
global_best_fixed_setting,fixture_drift,medium,normal,OUT_OF_CORRECTION_RANGE,4,2.5896631202060405,2.619301331337604,1.2031624455926386,2.3833343009307493,4.5873976232507285,50,8.0
global_best_fixed_setting,offset_dominant,medium,normal,MANUAL_REVIEW,2,0.9186243096607563,0.9227333806814544,1.1589227959140536,1.3455992653049966,0.1698369010950232,50,4.0
global_best_fixed_setting,offset_dominant,high,normal,MANUAL_REVIEW,1,0.9507185295629632,0.9507185295629632,1.1636602979608406,1.3828737276040612,0.2329574114920545,50,2.0
individual_adaptive_setting,fixture_drift,low,normal,REWORK_REQUIRED,9,1.1766601376837778,1.2105261793656856,0.5227273405641357,1.1527017295182351,2.043307602460488,50,18.0
individual_adaptive_setting,tilt_dominant,low,normal,REWORK_REQUIRED,5,1.1782988722921584,1.1971198370171057,0.5205604822207963,1.1519410758383848,2.052577359754212,50,10.0
individual_adaptive_setting,fixture_drift,high,normal,REWORK_REQUIRED,4,1.154930935111587,1.1746443786426568,0.4497164591980461,1.1185488502009346,2.0925668656842533,50,8.0
individual_adaptive_setting,mixed,medium,normal,REWORK_REQUIRED,4,1.1835516927746803,1.2133550228457366,0.5005993796547159,1.184965794881331,2.0633678785931835,50,8.0
individual_adaptive_setting,waviness_dominant,high,normal,REWORK_REQUIRED,4,1.2357755108663053,1.2959972855738415,0.566055659504827,1.22329998303889,2.108246385495557,50,8.0
individual_adaptive_setting,waviness_dominant,medium,normal,REWORK_REQUIRED,4,1.2442609251438461,1.2931333782025034,0.5565694537926419,1.228745373573188,2.1457452139076705,50,8.0
individual_adaptive_setting,disturbed_batch,high,disturbed,REWORK_REQUIRED,3,1.2589700643760369,1.314669333911299,0.524580133510557,1.325014172991902,2.1359651699875077,50,6.0
individual_adaptive_setting,twist_dominant,medium,normal,REWORK_REQUIRED,3,1.160944356264659,1.179575634542699,0.5114105126245708,1.11528689119137,2.0378267770054794,50,6.0
individual_adaptive_setting,bend_dominant,high,normal,REWORK_REQUIRED,2,1.2225303942943817,1.2228709498166233,0.5223608651650256,1.300592508142076,2.0456963168556115,50,4.0
individual_adaptive_setting,bend_dominant,medium,normal,REWORK_REQUIRED,2,1.2186011667828518,1.256231663239999,0.4992305181074326,1.3126626935468484,2.0472290786781127,50,4.0
individual_adaptive_setting,fixture_drift,medium,normal,REWORK_REQUIRED,2,1.1640030197688014,1.1714232777285305,0.4772097376814113,1.0982891758646942,2.1089581244659295,50,4.0
individual_adaptive_setting,mixed,high,normal,REWORK_REQUIRED,2,1.2074118588749077,1.2187711223121904,0.48535206453219,1.2948362996447127,2.0445837571569063,50,4.0
individual_adaptive_setting,offset_dominant,high,normal,REWORK_REQUIRED,2,1.1674966276992098,1.1773130205288724,0.5174572541866059,1.0958027251243578,2.074147555119585,50,4.0
individual_adaptive_setting,mixed,low,normal,REWORK_REQUIRED,1,1.1555805450433607,1.1555805450433607,0.4875061757665797,1.171148883328344,2.0016639296691885,50,2.0
individual_adaptive_setting,tilt_dominant,high,normal,REWORK_REQUIRED,1,1.1848847238563682,1.1848847238563682,0.4885505236648578,1.1798482695173584,2.0872670625911764,50,2.0
individual_adaptive_setting,tilt_dominant,medium,normal,REWORK_REQUIRED,1,1.161840372886525,1.161840372886525,0.537932923882884,1.0565592953718086,2.071686236155048,50,2.0
individual_adaptive_setting,twist_dominant,high,normal,REWORK_REQUIRED,1,1.1708530614538517,1.1708530614538517,0.4826427455507536,1.1517400468105752,2.0765663684913647,50,2.0
nominal_universal_baseline,disturbed_batch,high,disturbed,OUT_OF_CORRECTION_RANGE,50,8.525558875838623,12.10692813448696,3.8664573992800957,8.820930399769603,14.206703857713443,50,100.0
nominal_universal_baseline,tilt_dominant,high,normal,OUT_OF_CORRECTION_RANGE,36,6.528421801267529,9.766842158868188,2.94174632711293,6.031341774424515,11.653965980530224,50,72.0
nominal_universal_baseline,tilt_dominant,medium,normal,OUT_OF_CORRECTION_RANGE,35,4.923176980926333,7.099707818483712,2.2240171829465325,4.537097744772227,8.79264094198285,50,70.0
nominal_universal_baseline,offset_dominant,high,normal,REWORK_REQUIRED,32,1.653904817387415,2.4999528113252607,1.4294578169806047,2.1068478145593152,1.4766111451875794,50,64.0
nominal_universal_baseline,mixed,high,normal,OUT_OF_CORRECTION_RANGE,31,4.554558023274526,7.347287462742124,2.1263764706331063,4.625902654302655,7.598800727672969,50,62.0
nominal_universal_baseline,mixed,medium,normal,OUT_OF_CORRECTION_RANGE,29,4.079009816829617,5.497458309883871,1.8578349720834668,4.0720401349145945,6.943752467805417,50,57.99999999999999
nominal_universal_baseline,twist_dominant,high,normal,REWORK_REQUIRED,26,1.8305377138067032,2.4867354200783427,0.8529174399683439,1.7624311546254792,3.153279527733648,50,52.0
nominal_universal_baseline,fixture_drift,medium,normal,REWORK_REQUIRED,25,1.8118379679456746,2.47037703837044,0.8130114718371161,1.7442656107784011,3.167266058511119,50,50.0
nominal_universal_baseline,tilt_dominant,low,normal,REWORK_REQUIRED,22,1.7089129467589812,2.456914492809413,0.7673163981704992,1.6063149145304434,3.026449749987523,50,44.0
nominal_universal_baseline,fixture_drift,high,normal,REWORK_REQUIRED,21,1.7605107871087515,2.4968450411574192,0.7913256530762043,1.762150597531247,3.00748843875113,50,42.0
nominal_universal_baseline,mixed,low,normal,REWORK_REQUIRED,21,1.8786862465271195,2.494564190829648,0.8739172191998238,1.9083684510765608,3.1394128703639472,50,42.0
nominal_universal_baseline,waviness_dominant,high,normal,REWORK_REQUIRED,20,1.6748847786097767,2.074336184168555,0.7707066994512974,1.7467553294591671,2.7590794531689733,50,40.0
nominal_universal_baseline,fixture_drift,low,normal,REWORK_REQUIRED,19,1.3307251553058346,1.596917767477247,0.6158866233751723,1.28515050428767,2.298759405370319,50,38.0
nominal_universal_baseline,tilt_dominant,low,normal,OUT_OF_CORRECTION_RANGE,18,3.3905144270655194,4.146663039421165,1.5349750344569955,3.109123039103466,6.066772022260085,50,36.0
nominal_universal_baseline,bend_dominant,high,normal,REWORK_REQUIRED,17,1.6824487433822137,2.2351793210094337,0.9066817264027568,1.6402695217217194,2.7204155861224333,50,34.0
nominal_universal_baseline,mixed,low,normal,OUT_OF_CORRECTION_RANGE,17,2.895656356708194,3.418371603950176,1.3114547352000496,2.8400825307400015,4.989698744467608,50,34.0
nominal_universal_baseline,twist_dominant,medium,normal,REWORK_REQUIRED,16,1.4494011879264406,1.7939012775578125,0.6593685080223849,1.376414176446901,2.5390962954748337,50,32.0
nominal_universal_baseline,mixed,high,normal,REWORK_REQUIRED,12,1.7179032297377523,2.2634641835485083,1.0537870987318898,2.0439609014438624,2.231402020702499,50,24.0
nominal_universal_baseline,mixed,medium,normal,REWORK_REQUIRED,11,1.9868764426838155,2.388096764876856,0.9466642708449219,2.1527103766042197,3.1504313009373033,50,22.0
nominal_universal_baseline,tilt_dominant,high,normal,REWORK_REQUIRED,11,1.868331661607415,2.4958635637004067,0.842406703681725,1.8289559364754524,3.22974879392374,50,22.0
nominal_universal_baseline,offset_dominant,medium,normal,REWORK_REQUIRED,9,1.4415313615055982,1.878356705049658,1.2759890399141514,1.891629173848635,1.1931442225357956,50,18.0
nominal_universal_baseline,bend_dominant,medium,normal,REWORK_REQUIRED,8,1.4667611248408907,1.630816631064698,0.8109211120990667,1.4306998439385623,2.3444343833929167,50,16.0
nominal_universal_baseline,fixture_drift,high,normal,OUT_OF_CORRECTION_RANGE,8,2.8496804862818754,3.368877788112577,1.2987666672902045,2.783238242347629,4.914957361814204,50,16.0
nominal_universal_baseline,tilt_dominant,medium,normal,REWORK_REQUIRED,8,1.7468831707771253,2.2590771061344825,0.7822341930676429,1.6811754306037288,3.055918127845424,50,16.0
nominal_universal_baseline,waviness_dominant,medium,normal,REWORK_REQUIRED,6,1.3561935025874743,1.5768415402718057,0.6442511487554179,1.41503115784839,2.208136235811352,50,12.0
nominal_universal_baseline,fixture_drift,medium,normal,OUT_OF_CORRECTION_RANGE,4,2.5896631202060405,2.619301331337604,1.2031624455926386,2.3833343009307493,4.5873976232507285,50,8.0
nominal_universal_baseline,offset_dominant,medium,normal,MANUAL_REVIEW,2,0.9186243096607563,0.9227333806814544,1.1589227959140536,1.3455992653049966,0.1698369010950232,50,4.0
nominal_universal_baseline,offset_dominant,high,normal,MANUAL_REVIEW,1,0.9507185295629632,0.9507185295629632,1.1636602979608406,1.3828737276040612,0.2329574114920545,50,2.0
