model,MAE,RMSE,R2,training_time_seconds,prediction_time_seconds,test_samples,split_seed
Linear Regression,3.1317749415995784,3.6926227764597335,0.027618369042085478,0.12663019984029233,0.001347400015220046,1760,11
Ridge Regression,3.131775850592694,3.6926250513556127,0.027617170941017122,0.011023999890312552,0.001558799995109439,1760,11
Random Forest,0.2884579740326923,0.40197952665348774,0.9884767568292326,1.2206373000517488,0.0608217001426965,1760,11
Gradient Boosting,0.3705933915844094,0.5195387022493927,0.9807512439611027,3.3295342000201344,0.0045600999146699905,1760,11
Support Vector Regression,0.4301424788551972,0.6661474638937546,0.9683548167103884,9.309589700074866,0.7127322999294847,1760,11
Linear Regression,3.0913563367068937,3.7100804409374772,0.020428619131931502,0.005022699944674969,0.001308100065216422,1760,22
Ridge Regression,3.0913524863157082,3.710077406743056,0.02043022136608852,0.003846400184556842,0.0012403998989611864,1760,22
Random Forest,0.2955454296623638,0.40803131616473526,0.9881516894483051,1.2802752000279725,0.06110729998908937,1760,22
Gradient Boosting,0.390566774438568,0.5427825215550309,0.979033731419304,3.3692430001683533,0.004549399949610233,1760,22
Support Vector Regression,0.44576245041449175,0.6946064085753517,0.9656642128460962,9.36080040014349,0.7161054001189768,1760,22
Linear Regression,3.1030478388803493,3.739155531602146,0.04942644442345756,0.005913899978622794,0.0014763001818209887,1760,33
Ridge Regression,3.103051117264022,3.7391623526330324,0.0494229763155164,0.003624499775469303,0.0012767999432981014,1760,33
Random Forest,0.3157453081699044,0.435010549038184,0.9871341570593889,1.2041889999527484,0.050016700057312846,1760,33
Gradient Boosting,0.386855899272285,0.5440680915082354,0.9798745694442016,3.3816682000178844,0.004604300018399954,1760,33
Support Vector Regression,0.4445100894614251,0.69009096843758,0.9676219003632404,10.054001400014386,0.7074873000383377,1760,33
Linear Regression,3.171576023615309,3.7734350452954044,0.0329748487135042,0.005478000035509467,0.0013164998963475227,1760,42
Ridge Regression,3.1715763153384926,3.7734356914940705,0.0329745175084305,0.003816500073298812,0.0011897999793291092,1760,42
Random Forest,0.29431364801295906,0.40602850453406164,0.9888036346979143,1.267487300094217,0.06036799983121455,1760,42
Gradient Boosting,0.4002391800837246,0.5638786268210726,0.9784058914824828,3.4166966998018324,0.004628300201147795,1760,42
Support Vector Regression,0.459290234867952,0.7023020162790338,0.9665025426287263,9.828853599959984,0.7264485999476165,1760,42
Linear Regression,3.151720976604116,3.7935850207013466,0.029700979265730898,0.005727800074964762,0.0013979999348521233,1760,55
Ridge Regression,3.1517188296215575,3.793587201736254,0.02969986356296883,0.004216399975121021,0.001115000108256936,1760,55
Random Forest,0.29468133272381997,0.4189523927604994,0.9881658982293936,1.2953263998497277,0.06165229994803667,1760,55
Gradient Boosting,0.3868455996897763,0.5438185824582827,0.9800605104373561,3.3210473000071943,0.0045806001871824265,1760,55
Support Vector Regression,0.42299109711036637,0.6515686444375551,0.9713762650012379,9.604845999972895,0.7162528999615461,1760,55
