evaluation_budget,method,mean_best_quality,median_best_quality,std_best_quality,cases
5,bayesian_optimization,3.0005907653118977,2.3149977186574153,2.020603993814791,30
5,random_search,3.0005907653118977,2.3149977186574153,2.020603993814791,30
10,bayesian_optimization,1.682409370618494,1.3784802785823187,0.7252333849343203,30
10,random_search,2.114531252863838,1.8810105358268747,0.9418346272957457,30
15,bayesian_optimization,1.455017773510685,1.1739221346200046,0.6509616598477436,30
15,random_search,1.7671137303243476,1.760452342933762,0.6194102044932652,30
20,bayesian_optimization,1.309831090573047,1.0442961109348459,0.6109409076772366,30
20,random_search,1.6395495988876516,1.537625709460705,0.6374619914166608,30
25,bayesian_optimization,1.2810835810415848,1.0229009125535002,0.6097613839973174,30
25,random_search,1.622187920922086,1.537625709460705,0.6317128339743757,30
30,bayesian_optimization,1.2779151356531657,1.0229009125535002,0.6119206162971056,30
30,random_search,1.556000055107473,1.424260756612608,0.6331902629603082,30
