workload_percent,n_flagged,probability_threshold,mean_flagged_probability,attention_capture_percent,difficult_capture_percent,not_improved_capture_percent,high_regret_capture_percent,high_residual_capture_percent,attention_precision_percent,attention_lift
5.0,75,0.9631269841269843,0.9806386411760819,12.135922330097088,13.03538175046555,6.172839506172839,5.333333333333334,18.933333333333334,100.0,2.4271844660194177
10.0,150,0.9045038480038479,0.9591171277821665,23.948220064724918,24.767225325884542,18.51851851851852,12.666666666666668,36.266666666666666,98.66666666666667,2.394822006472492
15.0,225,0.8363531746031748,0.9307699493212718,34.78964401294498,35.19553072625698,32.098765432098766,20.0,49.333333333333336,95.55555555555556,2.319309600862999
20.0,300,0.770059523809524,0.8989484491825909,45.79288025889968,47.113594040968344,37.03703703703704,30.0,64.8,94.33333333333334,2.289644012944984
25.0,375,0.7008310577892335,0.8654536639757056,56.148867313915865,57.91433891992551,44.44444444444444,38.0,76.8,92.53333333333333,2.2459546925566345
30.0,450,0.6279755522255522,0.8319849081334375,64.23948220064725,65.73556797020484,54.32098765432099,44.0,84.0,88.22222222222223,2.1413160733549086
35.0,525,0.546623015873016,0.7967783301157172,69.7411003236246,70.94972067039106,61.72839506172839,50.0,87.2,82.0952380952381,1.9926028663892743
40.0,600,0.49236507936507934,0.7623559614494695,76.2135922330097,77.28119180633148,69.1358024691358,54.666666666666664,91.73333333333333,78.5,1.9053398058252429
45.0,675,0.43984510075270955,0.7290682150859529,81.22977346278317,80.63314711359403,85.18518518518519,60.66666666666667,92.80000000000001,74.37037037037038,1.8051060769507374
50.0,750,0.3946755767380765,0.6978283547996245,83.65695792880258,83.24022346368714,86.41975308641975,63.33333333333333,93.60000000000001,68.93333333333334,1.673139158576052
