batch_id,assembly_id,batch_condition,variation_multiplier,n_components,severity_sequence,scenario_sequence,final_mean_gap,final_max_gap,final_parallelism,final_rms,final_quality_score
1,1,normal,1.0,5,medium+medium+medium+medium+medium,mixed+mixed+twist+waviness+bend,0.17262447384137736,0.460973580263338,0.056170393073415995,0.21098263827386773,0.22802879798082618
1,2,normal,1.0,5,medium+medium+high+low+medium,mixed+mixed+mixed+offset+mixed,0.6481626252166784,0.833459588071767,0.04249564547460172,0.6615906263069394,0.523394420259608
1,3,normal,1.0,5,medium+medium+high+medium+low,mixed+mixed+mixed+mixed+mixed,0.7778766585986507,1.457431676164467,0.3212637708954289,0.8452032856068601,0.8514919602582499
1,4,normal,1.0,5,low+medium+medium+low+medium,mixed+mixed+mixed+offset+mixed,0.40869399248029775,0.7574698788882327,0.07119398446982178,0.4533401875917185,0.4165413755106775
1,5,normal,1.0,5,medium+medium+medium+extreme+low,tilt+bend+bend+offset+offset,0.3034437290251235,0.620664086618093,0.05507241935058982,0.3581162021245595,0.3295656907105979
1,6,normal,1.0,5,extreme+extreme+medium+medium+medium,mixed+mixed+mixed+mixed+waviness,1.4487380996547927,2.1538363608518427,0.917773843407434,1.52940135492209,1.5090446266664297
1,7,normal,1.0,5,low+medium+medium+high+low,twist+tilt+tilt+mixed+bend,0.09972010805391075,0.31852798830428347,0.1975906407332428,0.13354774426058927,0.19810639555349002
1,8,normal,1.0,5,low+medium+medium+medium+low,mixed+mixed+bend+mixed+offset,0.15087231557161873,0.6130511728346918,0.34624136092583097,0.2013930051642099,0.3531887553160634
1,9,normal,1.0,5,medium+low+low+medium+low,mixed+tilt+waviness+twist+mixed,0.172632719836181,0.5139378401845454,0.36642497479044106,0.22372829589666765,0.338271490033017
1,10,normal,1.0,5,medium+medium+low+medium+medium,mixed+mixed+tilt+mixed+mixed,0.6879676889099003,1.0174071268441673,0.19578066017296913,0.7006935196537417,0.6404159947434851
2,11,offset_drift,1.0,5,medium+high+medium+low+medium,twist+offset+mixed+bend+mixed,0.364763335397945,0.53846994198295,0.09118680782230432,0.38249193217131155,0.33657521877809093
2,12,offset_drift,1.0,5,medium+low+high+medium+high,waviness+mixed+offset+tilt+bend,0.9030749709043757,1.0887121261749133,0.4452937336657461,0.9196842131691848,0.8230926705404289
2,13,offset_drift,1.0,5,high+medium+high+medium+low,waviness+mixed+mixed+twist+offset,0.16961224778758516,0.4264216494436056,0.38762131972400965,0.2075717378776758,0.3158537388743277
2,14,offset_drift,1.0,5,extreme+high+medium+high+low,tilt+waviness+mixed+waviness+mixed,1.0368171546398048,1.5128158831061533,0.2639351631082696,1.071222369277575,0.9511926971840259
2,15,offset_drift,1.0,5,medium+extreme+extreme+high+high,waviness+mixed+waviness+mixed+waviness,1.0673094029917403,1.9094381579994189,6.661338147750939e-16,1.1882016136570304,1.0118444296630509
2,16,offset_drift,1.0,5,low+low+medium+medium+medium,bend+tilt+mixed+twist+mixed,1.3848269971728762,1.748930637509959,0.8204394928066803,1.4147164349848593,1.3277307817453405
2,17,offset_drift,1.0,5,low+high+medium+medium+low,waviness+offset+waviness+bend+offset,0.087541510243655,0.2234310175084589,1.1102230246251565e-16,0.10539361848333999,0.10383112017396819
2,18,offset_drift,1.0,5,medium+high+high+medium+high,mixed+mixed+waviness+tilt+mixed,0.36910957647398895,0.976516652676052,0.6509601025105205,0.4649282087926333,0.6454687203774317
2,19,offset_drift,1.0,5,low+high+medium+medium+medium,twist+mixed+bend+mixed+tilt,1.2440313753392955,1.6866346841430127,1.100341335689819,1.3102822789438429,1.3403304464460222
2,20,offset_drift,1.0,5,low+low+medium+medium+low,waviness+mixed+mixed+twist+offset,0.7434423521829471,0.8657041128132998,0.00048374552011920535,0.7478565011610172,0.5576747132710116
3,21,disturbed,1.5,5,high+medium+low+high+medium,mixed+mixed+mixed+mixed+bend,2.1697170547139883,2.906624017334255,1.5949799514823768,2.244158745000626,2.2258121815592484
3,22,disturbed,1.5,5,high+low+low+medium+medium,mixed+offset+mixed+tilt+mixed,1.3255261843374677,1.9317365797233448,1.1958930083649473,1.4106399768181366,1.4770107294095416
