assembly_id,batch_condition,component_index,severity,scenario_type,best_predicted_quality,second_best_predicted_quality,predicted_quality_margin,normalized_quality_margin,selected_tree_std,selected_tree_iqr,selected_tree_range,selected_utilization,selected_candidate_source,actual_regret,exact_best_hit,exact_best_miss,top3_hit,high_regret,positive_regret
6,normal,1,high,tilt,0.0010756362906502,0.1845027072239709,0.1834270709333207,170.5288976652524,0.0143910325596302,0.0,0.19361452962311,0.0288789118089538,informed,0.0,True,False,True,True,False
6,normal,2,medium,tilt,0.0017232144177908,0.2599092309805993,0.2581860165628085,149.82814320565416,0.0168342754239529,0.0,0.2228223764685387,0.02437175958615,informed,0.0,True,False,True,True,False
6,normal,3,high,twist,0.0358191178395426,0.0358191178395426,0.0,0.0,0.0013318938245061,0.0,0.0115124392748639,0.0,zero,0.0,True,False,True,True,False
6,normal,4,extreme,mixed,0.1017923692086084,0.2377561260472649,0.1359637568386564,1.3356969475778566,0.0165075702668713,0.0037714114007291,0.2488818422549475,0.037514555307767,informed,0.0,True,False,True,True,False
6,normal,5,low,mixed,0.1050490333869144,0.4528981717592625,0.3478491383723481,3.311302609431513,0.0450493805124082,0.0,0.4691020546925344,0.1528462534252973,informed,0.0,True,False,True,True,False
10,normal,1,high,mixed,0.1529347695088195,0.2444814014728799,0.0915466319640604,0.5985992083950603,0.0003867464104417,0.0,0.0052032211048803,0.1745389769189608,informed,0.0,True,False,True,True,False
10,normal,2,medium,mixed,0.2120352229941042,0.2908774044478464,0.0788421814537422,0.3718353033068211,0.0384969869113335,0.0,0.4183765685287934,0.0546218683168973,informed,0.0,True,False,True,True,False
10,normal,3,high,tilt,0.1663138669839326,0.2966853109421687,0.1303714439582361,0.7838879963679225,0.0181833224082118,0.0,0.1573067095968727,0.0334119495434742,informed,0.0,True,False,True,True,False
10,normal,4,extreme,mixed,0.1781792246921835,0.3639806915500809,0.1858014668578973,1.0427785123595734,0.0942963920825077,0.0168717636343802,0.7595388266531267,0.0478994592491475,informed,0.0,True,False,True,True,False
10,normal,5,low,mixed,0.1823744959243952,0.2611982420620574,0.0788237461376621,0.4322081645140732,0.0258426091161463,0.0,0.241814912250164,0.0128526665720833,informed,0.0,True,False,True,True,False
35,normal,1,medium,waviness,0.0492820798170133,0.0492820798170133,0.0,0.0,1.2444953449536893e-17,6.938893903907228e-18,2.0816681711721685e-17,0.0,zero,0.0,True,False,True,True,False
35,normal,2,medium,offset,0.0502325558421383,0.2358650984960016,0.1856325426538633,3.695462823696155,0.0110328790817642,0.0,0.1595502654420745,0.2209008193388741,informed,0.0,True,False,True,True,False
35,normal,3,high,mixed,0.0895401013139999,0.3143644086160874,0.2248243073020874,2.510878410933127,0.0956446444872139,0.0,0.5275335764083703,0.0867818664000865,informed,0.0,True,False,True,True,False
35,normal,4,low,bend,0.0872643346737949,0.0898857036906558,0.0026213690168609,0.0300394087304957,0.0154563874026965,0.0,0.141143228564002,0.0,zero,0.0,True,False,True,True,False
35,normal,5,medium,bend,0.1009715134077508,0.1191446282655756,0.0181731148578247,0.1799825935502891,0.0182275303716983,0.0070980308559115,0.1112324557381649,0.0119336577787653,informed,0.0,True,False,True,True,False
41,normal,1,medium,twist,0.0253324021898197,0.0253324021898197,0.0,0.0,2.1480705664450957e-18,0.0,6.938893903907228e-18,0.0,zero,0.0,True,False,True,True,False
41,normal,2,medium,waviness,0.0385375935862965,0.0439465027700345,0.005408909183738,0.1403540979180739,0.0082396970830476,0.0,0.1165369487691527,0.0052223494052542,informed,0.0,True,False,True,True,False
41,normal,3,high,bend,0.1753455166699004,0.180394869377801,0.0050493527079006,0.0287965886085718,0.0125190336525778,0.0042233818885911,0.1174550958460354,0.0,zero,0.0,True,False,True,True,False
41,normal,4,low,twist,0.1272178561824387,0.1768392259739129,0.0496213697914741,0.3900503536257824,0.0092623207578434,0.0021922735948975,0.0823807936067366,0.034286221823557,informed,0.0,True,False,True,True,False
41,normal,5,medium,bend,0.1450912628977337,0.1669807367521353,0.0218894738544015,0.1508669331097499,0.0214782321530851,0.0170378679674176,0.1885873789301436,0.0173313235259264,informed,0.0,True,False,True,True,False
53,normal,1,medium,bend,0.0798131608887754,0.0798131608887754,0.0,0.0,1.1702778228589005e-17,1.3877787807814457e-17,1.3877787807814457e-17,0.0,zero,0.0,True,False,True,True,False
53,normal,2,medium,tilt,0.0534452252639921,0.2135197072801396,0.1600744820161475,2.995112869773892,0.0084396393271089,0.0,0.1049656427265491,0.0179835179512445,informed,0.0,True,False,True,True,False
53,normal,3,high,tilt,0.0582841987478549,0.1109883660657209,0.052704167317866,0.9042616772664428,0.0426014670429985,0.0102004070932475,0.2416928284486584,0.0089917589756222,informed,0.0,True,False,True,True,False
53,normal,4,low,mixed,0.0618027792068379,0.2609126770775629,0.1991098978707249,3.2216981246806955,0.0428535443605972,0.0023191192851243,0.4964488185774799,0.1050363184208656,informed,0.0,True,False,True,True,False
53,normal,5,medium,twist,0.0682615928042635,0.0847410055785931,0.0164794127743296,0.2414155910715917,0.0389427434293984,0.0,0.3293740525997762,0.0847632076141395,informed,0.0,True,False,True,True,False
63,normal,1,medium,mixed,0.1217649070825857,0.2363596244766612,0.1145947173940754,0.941114481501249,0.0023753426685823,0.0,0.0235222595243382,0.0684424077208102,informed,0.0,True,False,True,True,False
63,normal,2,medium,mixed,0.2287506153916513,0.2571273837529147,0.0283767683612634,0.1240511126611774,0.0163986963443668,0.0071455214307842,0.1468124627497053,0.0195068353287522,informed,0.0,True,False,True,True,False
63,normal,3,high,mixed,0.2445375549229983,0.3923862907482492,0.1478487358252509,0.6046054393232424,0.0689867578088163,0.0,0.7516047568037847,0.3592573270292026,informed,0.0,True,False,True,True,False
63,normal,4,low,waviness,0.1983372102917493,0.235818104124146,0.0374808938323966,0.1889756025975315,0.0102807996477649,0.0016789217158518,0.0963472718190093,0.0297891800211083,informed,0.0,True,False,True,True,False
63,normal,5,medium,tilt,0.1904229777440904,0.278128503110164,0.0877055253660736,0.4605826797012974,0.0198735714914014,0.0004112168779555,0.182192197478817,0.0148945900105541,informed,0.0,True,False,True,True,False
65,normal,1,medium,twist,0.0070716433610877,0.0070716433610877,0.0,0.0,7.256868947200196e-19,8.673617379884035e-19,8.673617379884035e-19,0.0,zero,0.0,True,False,True,True,False
65,normal,2,medium,tilt,0.0071650554177162,0.0694785640939216,0.0623135086762053,8.696863463488318,0.0157075019314447,0.0,0.1494787454984603,0.0059753655863408,informed,0.0,True,False,True,True,False
65,normal,3,high,mixed,0.1746198590657576,0.2704817362979453,0.0958618772321876,0.5489746569780952,0.0484161173211236,0.0,0.3993172006106432,0.0495124777602096,informed,0.0,True,False,True,True,False
65,normal,4,low,bend,0.1997773263252168,0.2295455699395643,0.0297682436143475,0.1490071178842784,0.013616709530108,0.0164470950484889,0.0975271799444245,0.0265029698095076,informed,0.0,True,False,True,True,False
65,normal,5,medium,twist,0.1624038650639139,0.1964786348259262,0.0340747697620123,0.2098150173248783,0.0100239025812117,0.0,0.1103477800746522,0.0271334975172069,informed,0.0,True,False,True,True,False
76,normal,1,high,twist,0.0330733862574106,0.0330733862574106,0.0,0.0,2.132448027717043e-18,0.0,6.938893903907228e-18,0.0,zero,0.0,True,False,True,True,False
76,normal,2,medium,mixed,0.0671967658257826,0.0751295015097884,0.0079327356840057,0.1180523435394576,0.0013563785319312,0.0,0.0082537134284457,0.0,zero,0.0,True,False,True,True,False
76,normal,3,high,twist,0.0557675598681683,0.0708749375663201,0.0151073776981518,0.2708990268511819,0.0049842685494719,0.001569472406734,0.0479823854390258,0.0111296856025288,informed,0.0,True,False,True,True,False
76,normal,4,extreme,twist,0.0529447116405786,0.060220029122907,0.0072753174823284,0.1374134877099294,0.0082744215545313,0.0113123255827509,0.0650920192606213,0.0080299038763934,informed,0.0,True,False,True,True,False
76,normal,5,low,waviness,0.0550598874123795,0.0657747622549475,0.0107148748425679,0.1946040093093039,0.0173046822410508,0.0051626289459711,0.2323617651516525,0.0086503984176214,informed,0.0,True,False,True,True,False
92,normal,1,high,bend,0.1348290239561151,0.1348290239561151,0.0,0.0,2.5756084130422105e-17,0.0,5.551115123125783e-17,0.0,zero,0.0,True,False,True,True,False
92,normal,2,medium,twist,0.0866891503323709,0.1324687069735202,0.0457795566411493,0.5280886531431908,0.0013205999920604,0.0,0.0172239093684715,0.0303797036185868,informed,0.0,True,False,True,True,False
92,normal,3,high,twist,0.0724352071077971,0.0890740364860377,0.0166388293782406,0.2297063823325436,0.0088946694255173,0.0066461903024866,0.0697282378633526,0.0140352089166606,informed,0.0,True,False,True,True,False
92,normal,4,extreme,mixed,0.1332328954485112,0.2807811276948475,0.1475482322463363,1.1074459633233549,0.0577250845977594,0.0,0.5311067499135163,0.2420929797548758,informed,0.0,True,False,True,True,False
92,normal,5,low,mixed,0.1519189647232706,0.1841522002498404,0.0322332355265697,0.2121738756269471,0.017778346992993,0.0025591186923591,0.1279328089281082,0.004016062446634,informed,0.0,True,False,True,True,False
93,normal,1,medium,mixed,0.0752096435579026,0.1285843690492437,0.053374725491341,0.7096792773688488,0.0084942329625779,0.0,0.0780410786835602,0.0074865690822041,informed,0.0,True,False,True,True,False
93,normal,2,medium,waviness,0.0919365093952462,0.1156138652692494,0.0236773558740032,0.2575402963387634,0.0132018923384382,0.0100198936547751,0.1062745968585124,0.016836168044252,informed,0.0,True,False,True,True,False
93,normal,3,high,mixed,0.2596604234206088,0.4741193240308745,0.2144589006102657,0.8259206304338349,0.0335335025235555,0.0,0.500879773083898,0.0284405665812189,informed,0.0,True,False,True,True,False
93,normal,4,low,mixed,0.3202177373058835,0.3598228985780372,0.0396051612721536,0.123681972164838,0.0671264446624702,0.0,0.4489621599374043,0.0525414996566263,informed,0.0,True,False,True,True,False
93,normal,5,medium,mixed,0.3073717720315926,0.4114224308576515,0.1040506588260589,0.3385172884885614,0.0276891480127632,0.0119016267178121,0.2735760949269464,0.0320026066172894,informed,0.0,True,False,True,True,False
96,normal,1,high,twist,0.0179212172551408,0.0179212172551408,0.0,0.0,3.8268906811463285e-18,0.0,3.469446951953614e-18,0.0,zero,0.0,True,False,True,True,False
96,normal,2,medium,waviness,0.0745194081233101,0.0775002285687063,0.0029808204453961,0.040000592066749,0.0032917974360639,0.0,0.0459571523806581,0.00369451177873,informed,0.0,True,False,True,True,False
96,normal,3,high,offset,0.0738442893264043,0.3026205762468648,0.2287762869204604,3.098090441486009,0.0055753716429861,0.0007149965512401,0.0705831765392022,0.1977171794878819,informed,0.0,True,False,True,True,False
96,normal,4,extreme,bend,0.2441035107050525,0.2553488463323013,0.0112453356272488,0.0460678979780691,0.024279037307207,0.0006218238726041,0.1806348123322757,0.0,zero,0.0278050885593962,False,True,True,True,True
96,normal,5,low,bend,0.2217676465717877,0.327158847818135,0.1053912012463472,0.4752325367362877,0.0409589984262652,0.008147818329019,0.4262415515937957,0.132806025917909,informed,0.0,True,False,True,True,False
99,normal,1,medium,mixed,0.0331571224877533,0.1632337318312547,0.1300766093435014,3.923036728882177,7.601177430610146e-18,0.0,6.938893903907228e-18,0.087132180275678,informed,0.0,True,False,True,True,False
99,normal,2,medium,waviness,0.1115540131348252,0.1133985069598399,0.0018444938250146,0.0165345358107863,0.0136588419075838,0.0041357887581529,0.1430473782276016,0.001940985041818,informed,0.0,True,False,True,True,False
99,normal,3,high,mixed,0.125650203694452,0.153235916414297,0.027585712719845,0.2195437166733622,0.0304771978549516,1.3877787807814457e-17,0.2458250539007599,0.045296445009692,informed,0.0,True,False,True,True,False
99,normal,4,low,mixed,0.1643270076960719,0.2136527043696526,0.0493256966735806,0.3001679234907638,0.0318274438534581,0.0004962383016776,0.3203915491601625,0.0841157137215249,informed,0.0,True,False,True,True,False
99,normal,5,medium,mixed,0.2213694736594159,0.3320807609976514,0.1107112873382355,0.5001199375328887,0.0232702981687547,0.0063707379103803,0.2103064834858952,0.0748042953580922,informed,0.0,True,False,True,True,False
124,normal,1,high,twist,0.0119909548001282,0.0119909548001282,0.0,0.0,5.782411586589358e-19,0.0,1.734723475976807e-18,0.0,zero,0.0,True,False,True,True,False
124,normal,2,medium,bend,0.0596532251365921,0.0629194396411246,0.0032662145045325,0.0547533598904945,0.0040474351670923,0.0,0.0376611829687682,0.0024719706879612,informed,0.0,True,False,True,True,False
124,normal,3,high,waviness,0.0436066236217602,0.064660213772536,0.0210535901507757,0.4828071609806939,0.0074539863782544,0.000876857033943,0.070141625638831,0.0143960416849904,informed,0.0,True,False,True,True,False
124,normal,4,extreme,mixed,0.2085881721526155,0.2203373284533578,0.0117491563007422,0.0563270495133629,0.0135210756737567,0.0009574742614769,0.10202802747984,0.0071980208424952,informed,0.0,True,False,True,True,False
