batch_id,batch_condition,assembly_id,n_components,variation_multiplier,batch_offset_bias_mm,batch_angular_bias_deg,fixture_drift_mm,severity_sequence,scenario_sequence,final_mean_gap,final_max_gap,final_parallelism,final_rms,final_quality_score
1,normal,1,5,1.0,0.0,0.0,0.0,medium+medium+high+low+medium,tilt+mixed+mixed+bend+twist,0.19552298750851463,0.5989589915388673,0.27457111067541495,0.2590620579543802,0.34662213271227704
1,normal,2,5,1.0,0.0,0.0,0.0,high+medium+high+extreme+low,twist+twist+mixed+mixed+offset,0.24264620527187958,0.6104022863386771,0.4118505140404074,0.30757620686539877,0.4102273223818291
1,normal,3,5,1.0,0.0,0.0,0.0,medium+medium+high+low+medium,bend+mixed+bend+bend+twist,0.3180530829887042,0.5845294032763646,0.2903041594332523,0.34643252191801555,0.3925092459012978
1,normal,4,5,1.0,0.0,0.0,0.0,high+medium+high+extreme+low,tilt+mixed+mixed+mixed+waviness,0.7964528930177893,1.084783822698537,0.28110166037738216,0.8147200072857871,0.7301735135566912
1,normal,5,5,1.0,0.0,0.0,0.0,medium+medium+high+low+medium,twist+waviness+mixed+mixed+mixed,1.311676843658342,1.4825497169133868,0.22542500773112684,1.3145099221437107,1.0373464627052278
1,normal,6,5,1.0,0.0,0.0,0.0,high+medium+high+extreme+low,tilt+tilt+twist+mixed+mixed,0.42272552519933143,0.9839508677601488,1.1975718257640322,0.5253454114950413,0.8338090067665579
1,normal,7,5,1.0,0.0,0.0,0.0,medium+medium+high+low+medium,bend+mixed+waviness+mixed+mixed,0.3751276331674917,0.8187762926241546,0.9028553571492792,0.4425090274980551,0.6732786876320831
1,normal,8,5,1.0,0.0,0.0,0.0,high+medium+high+extreme+low,mixed+mixed+mixed+mixed+offset,0.45385200863630704,0.9719030675195368,0.01314612536710047,0.5606236092138205,0.4877327213782653
1,normal,9,5,1.0,0.0,0.0,0.0,medium+medium+high+low+medium,tilt+tilt+mixed+mixed+offset,0.37165122809472295,0.6611713657937363,1.131032920977888,0.4246585770726264,0.6916225121671667
1,normal,10,5,1.0,0.0,0.0,0.0,high+medium+high+extreme+low,mixed+mixed+tilt+mixed+mixed,0.18348379076888285,0.6435194617728828,0.4203312008321303,0.26049050929152834,0.4002493869413216
1,normal,11,5,1.0,0.0,0.0,0.0,medium+medium+high+low+medium,mixed+bend+waviness+twist+mixed,0.4937248228931834,0.7555051883373962,0.17158065271045336,0.519565619296402,0.47819976111195006
1,normal,12,5,1.0,0.0,0.0,0.0,high+medium+high+extreme+low,mixed+mixed+bend+twist+offset,0.3533932021805778,0.6981409914087028,0.5524442948099049,0.38618060332392024,0.5198116068521477
1,normal,13,5,1.0,0.0,0.0,0.0,medium+medium+high+low+medium,mixed+tilt+mixed+mixed+mixed,0.3817312655125985,1.0503010353506614,0.8597439413402799,0.49016662908557174,0.7365495355696191
1,normal,14,5,1.0,0.0,0.0,0.0,high+medium+high+extreme+low,mixed+bend+waviness+waviness+mixed,0.2657244841156687,0.5849721325318239,0.03691379764447278,0.31297228531749044,0.29758035281933864
1,normal,15,5,1.0,0.0,0.0,0.0,medium+medium+high+low+medium,bend+mixed+offset+twist+mixed,0.2813531561939065,0.5577277711848505,0.02049312249705431,0.32177589234738146,0.2900498041974815
1,normal,16,5,1.0,0.0,0.0,0.0,high+medium+high+extreme+low,mixed+tilt+mixed+waviness+tilt,1.7155806679707808,2.4233496124446767,0.8839227079283907,1.7710812904798228,1.6839640255511368
1,normal,17,5,1.0,0.0,0.0,0.0,medium+medium+high+low+medium,twist+bend+bend+mixed+mixed,0.36320579327641384,0.6108327818073134,0.3716458566776647,0.39720030331034994,0.44342535985945253
1,normal,18,5,1.0,0.0,0.0,0.0,high+medium+high+extreme+low,mixed+tilt+mixed+mixed+waviness,0.5677674160334452,1.0533121808786587,0.6054181564698664,0.6206497514435257,0.7300143011589437
1,normal,19,5,1.0,0.0,0.0,0.0,medium+medium+high+low+medium,twist+tilt+twist+mixed+tilt,0.08891176531177007,0.13425851859197657,0.0655512288927281,0.09439006454569428,0.09605546029351185
1,normal,20,5,1.0,0.0,0.0,0.0,high+medium+high+extreme+low,mixed+twist+mixed+mixed+bend,0.8924920523214204,1.3582261987659547,1.0565849871687683,0.9582309305160247,1.0880140645284455
1,normal,21,5,1.0,0.0,0.0,0.0,medium+medium+high+low+medium,mixed+bend+offset+bend+waviness,0.17516317402926473,0.6731068913523273,0.4918183482080336,0.26251155173846935,0.42827767925073457
1,normal,22,5,1.0,0.0,0.0,0.0,high+medium+high+extreme+low,mixed+mixed+mixed+twist+mixed,0.7904608756929806,1.2685640915416,0.1669638450125166,0.8393062828994766,0.7517272719640768
