assembly_id,batch_condition,component_index,severity,scenario_type,predicted_quality,actual_quality,prediction_absolute_error,true_best_of_20_quality,absolute_regret,exact_best_hit,top3_hit,selected_true_rank,selected_beats_zero,best_was_structured_initial,z_adj,theta_adj,locator_offset,correction_utilization,capability_penalty,mean_gap,max_gap,parallelism,rms
6,normal,1,high,tilt,0.0010756362906502064,0.0,0.0010756362906502064,0.0,0.0,True,True,1,True,True,-0.0,-0.0346546941707446,-0.0,0.028878911808953835,1.1119887296924445e-05,0.0,0.0,0.0,0.0
6,normal,2,medium,tilt,0.001723214417790804,0.0,0.001723214417790804,0.0,0.0,True,True,1,True,True,-0.0,0.02924611150338,-0.0,0.02437175958615,7.919768871001258e-06,0.0,0.0,0.0,0.0
6,normal,3,high,twist,0.035819117839542676,0.035471845972487814,0.0003472718670548616,0.035471845972487814,0.0,True,True,1,False,True,0.0,0.0,0.0,0.0,0.0,0.03656312818847778,0.06720522698015007,2.842486095923803e-17,0.04341339421899454
6,normal,4,extreme,mixed,0.10179236920860843,0.09891157169136139,0.0028807975172470413,0.09891157169136139,0.0,True,True,1,True,True,-0.01828156409423889,-0.0450174663693205,-0.0,0.03751455530776708,1.9477551382087967e-05,0.106670432894405,0.18339557925705374,5.551115123125783e-17,0.11891768045923751
6,normal,5,low,mixed,0.10504903338691449,0.09770495000662678,0.007344083380287705,0.09770495000662678,0.0,True,True,1,True,True,-0.3821156335632433,-0.0181897506828527,-0.0,0.1528462534252973,0.00031455661275889475,0.10665613020284975,0.1793740617359132,5.551115123125783e-17,0.1189589242499789
10,normal,1,high,mixed,0.15293476950881957,0.15296367629273605,2.8906783916482492e-05,0.15296367629273605,0.0,True,True,1,True,True,0.436347442297402,-0.0,-0.0,0.1745389769189608,0.00040618472618556716,0.15818395687346887,0.2917939982434711,0.0,0.1797028975765408
10,normal,2,medium,mixed,0.21203522299410424,0.2076161825781179,0.004419040415986342,0.17844764839874436,0.02916853417937354,False,True,3,True,True,-0.13655467079224332,-0.0,-0.0,0.054621868316897325,3.978064664571296e-05,0.19390619240014373,0.42325411673877095,4.163336342344337e-17,0.2246808983644351
10,normal,3,high,tilt,0.1663138669839326,0.16215562953322427,0.004158237450708341,0.16215562953322427,0.0,True,True,1,True,True,-0.0835298738586856,-0.017972965727853,-0.0,0.03341194954347424,1.787577364037353e-05,0.14349435099831584,0.33972424288008535,5.551115123125783e-17,0.17190051369703885
10,normal,4,extreme,mixed,0.17817922469218356,0.1423036756129845,0.03587554907919907,0.1423036756129845,0.0,True,True,1,True,True,-0.041764936929342814,0.057479351098977,-0.0,0.0478994592491475,3.431263719246213e-05,0.12729036807234798,0.29537337371433414,1.1102230246251565e-16,0.15504553076979852
10,normal,5,low,mixed,0.18237449592439528,0.18732961171281393,0.004955115788418646,0.18732961171281393,0.0,True,True,1,True,True,-0.015597675602498688,-0.015423199886499997,-0.0,0.01285266657208333,2.7215604731369805e-06,0.16420958715071543,0.3937223840829573,2.7755575615628914e-17,0.19950020342712127
35,normal,1,medium,waviness,0.04928207981701331,0.04928207981701342,1.1102230246251565e-16,0.04928207981701342,0.0,True,True,1,False,True,0.0,0.0,0.0,0.0,0.0,0.055512170719286894,0.088099282406246,6.473430252359273e-17,0.06198643879353527
35,normal,2,medium,offset,0.05023255584213834,0.049282079817013415,0.0009504760251249286,0.049282079817013415,0.0,True,True,1,True,True,-0.5522520483471854,1.854501162162469e-18,-0.077817756851428,0.22090081933887418,0.0007313703368796521,0.05551217071928688,0.08809928240624598,1.1102230246251565e-16,0.06198643879353526
35,normal,3,high,mixed,0.08954010131399998,0.05987990556851286,0.029660195745487117,0.05987990556851286,0.0,True,True,1,True,True,0.2169546660002164,-0.025831226620775697,-0.0,0.08678186640008656,0.00010659282622596881,0.05749954488950057,0.11996265026559312,1.214306433183765e-17,0.06641247021984742
35,normal,4,low,bend,0.08726433467379494,0.08300310463186417,0.004261230041930769,0.08300310463186417,0.0,True,True,1,False,True,0.0,0.0,0.0,0.0,0.0,0.07170392485719121,0.1752675298363261,1.5856456772600502e-18,0.08911668223808973
35,normal,5,medium,bend,0.10097151340775087,0.09469179335386926,0.00627972005388161,0.09469179335386926,0.0,True,True,1,True,True,-0.0298341444469134,4.542540255508197e-20,-0.0,0.01193365777876536,1.898829173075826e-06,0.08593862953837007,0.19515072361674107,6.938893903907228e-18,0.10364987407335925
41,normal,1,medium,twist,0.02533240218981978,0.0253324021898197,7.979727989493313e-17,0.0253324021898197,0.0,True,True,1,False,True,0.0,0.0,0.0,0.0,0.0,0.026111747026271035,0.04799496029723769,2.0299761409868907e-17,0.031003899927670747
41,normal,2,medium,waviness,0.03853759358629653,0.03882512844243221,0.0002875348561356822,0.03882512844243221,0.0,True,True,1,True,True,0.013055873513135518,5.81545326954013e-19,-0.0,0.005222349405254207,3.6363911080745305e-07,0.03537691763636787,0.08012998944051856,4.683753385137379e-17,0.041730563193662626
41,normal,3,high,bend,0.1753455166699005,0.17459922674548017,0.0007462899244203292,0.17459922674548017,0.0,True,True,1,False,True,0.0,0.0,0.0,0.0,0.0,0.1718103116599686,0.34325273842942144,1.0408340855860843e-17,0.20080311718663135
41,normal,4,low,twist,0.12721785618243875,0.1245604968666774,0.0026573593157613457,0.1245604968666774,0.0,True,True,1,True,True,-0.08571555455889251,2.981770013872047e-19,-0.0,0.034286221823557006,1.5673933425788754e-05,0.11228625812470379,0.25771523529740636,1.3877787807814457e-17,0.1356004884004436
41,normal,5,medium,bend,0.14509126289773377,0.1484281750297853,0.003336912132051534,0.1484281750297853,0.0,True,True,1,True,True,-0.04332830881481603,3.975693351829396e-19,-0.0,0.017331323525926413,4.004997002137738e-06,0.1376862517310982,0.3022547446764407,0.0,0.16445876107523658
53,normal,1,medium,bend,0.0798131608887754,0.0798131608887753,9.71445146547012e-17,0.0798131608887753,0.0,True,True,1,False,True,0.0,0.0,0.0,0.0,0.0,0.0899175897562229,0.1426663759324753,1.7471592063165886e-17,0.10037971182165843
53,normal,2,medium,tilt,0.05344522526399213,0.05210748692256301,0.001337738341429126,0.05210748692256301,0.0,True,True,1,True,True,-0.04495879487811145,-0.0197716794814897,-0.0,0.01798351795124458,7.93171547498797e-06,0.05487004762344101,0.09770758105436386,2.7755575615628914e-17,0.06334198319221536
53,normal,3,high,tilt,0.058284198747854926,0.04086341760691878,0.017420781140936148,0.04086341760691878,0.0,True,True,1,True,True,-0.022479397439055727,0.0098160088795231,0.0030255245890246,0.00899175897562229,2.0922406609603937e-06,0.0443290901080871,0.07522818361530814,4.163336342344337e-17,0.04996235489900187
53,normal,4,low,mixed,0.061802779206837966,0.05444790922285042,0.007354869983987544,0.05444790922285042,0.0,True,True,1,True,True,0.2625907960521642,-0.0070018444584287005,-0.0,0.10503631842086567,0.00014755565199712676,0.048640831919959125,0.11301832002208062,0.0,0.059501636402384976
53,normal,5,medium,twist,0.06826159280426357,0.057620271972235786,0.010641320832027783,0.057620271972235786,0.0,True,True,1,True,True,-0.005619849359763938,-0.0,-0.0847632076141395,0.0847632076141395,9.586472797506595e-05,0.05070973166047393,0.12081329076931055,0.0,0.06163365243300444
63,normal,1,medium,mixed,0.12176490708258575,0.12146743898785216,0.00029746809473359115,0.12146743898785216,0.0,True,True,1,True,True,-0.1711060193020257,-0.0,-0.0,0.06844240772081028,6.245817566162175e-05,0.1073578367192571,0.2545237172174615,5.551115123125783e-17,0.1290297280683658
63,normal,2,medium,mixed,0.2287506153916513,0.2328507912418061,0.004100175850154791,0.17219319293081392,0.06065759831099218,False,True,3,True,True,-0.048767088321880626,1.5902773407317584e-18,-0.0,0.01950683532875225,5.073554993907425e-06,0.21407801657786057,0.47806287837895084,3.469446951953614e-17,0.2520852275476268
63,normal,3,high,mixed,0.2445375549229983,0.23116667642170882,0.013370878501289485,0.1797672726900951,0.051399403731613724,False,True,2,True,True,-0.8981433175730067,9.93923337957349e-19,-0.0,0.35925732702920266,0.0017208776936555664,0.20391939612602447,0.48451619820563163,1.1102230246251565e-16,0.24635998122211944
63,normal,4,low,waviness,0.19833721029174933,0.19957637581044047,0.0012391655186911321,0.19957637581044047,0.0,True,True,1,True,True,-0.07447295005277084,3.180554681463517e-18,-0.0,0.029789180021108336,1.1831936617733334e-05,0.17637494757080197,0.4180914372709941,5.551115123125783e-17,0.21236460357901596
63,normal,5,medium,tilt,0.19042297774409045,0.1863635895446471,0.004059388199443348,0.1863635895446471,0.0,True,True,1,True,True,-0.037236475026385434,0.013033261025132302,-0.0,0.014894590010554173,4.5308164965558616e-06,0.1729123262869222,0.3808549622446087,5.551115123125783e-17,0.20233402985187818
65,normal,1,medium,twist,0.007071643361087788,0.007071643361087817,2.862293735361732e-17,0.007071643361087817,0.0,True,True,1,False,True,0.0,0.0,0.0,0.0,0.0,0.0072892006498673214,0.013397988860607534,5.6667611673817275e-18,0.00865486507945358
65,normal,2,medium,tilt,0.007165055417716238,0.0050235111743866055,0.002141544243329633,0.0050235111743866055,0.0,True,True,1,True,True,0.0036446003249336607,0.007170438703609,-0.0,0.005975365586340834,5.044038897998318e-07,0.005018006986434858,0.009753388535673875,0.0,0.005920925177539857
65,normal,3,high,mixed,0.17461985906575767,0.17500309739973588,0.00038323833397821416,0.17500309739973588,0.0,True,True,1,True,True,0.12378119440052412,-0.0222236061858936,-0.0,0.04951247776020965,3.72595159777894e-05,0.15277380579820427,0.36848701015055474,9.71445146547012e-17,0.18624852615108148
65,normal,4,low,bend,0.1997773263252168,0.19377934096460667,0.005997985360610136,0.1865396087499571,0.007239732214649575,False,True,2,True,True,-0.06625742452376929,2.782985346280577e-18,-0.0,0.026502969809507716,9.3654321163157e-06,0.16919702261126315,0.4088981194497844,2.7755575615628914e-17,0.20350798346292417
65,normal,5,medium,twist,0.16240386506391397,0.16111676767378577,0.0012870973901281946,0.16111676767378577,0.0,True,True,1,True,True,-0.06783374379301738,7.951386703658792e-19,-0.0,0.02713349751720695,9.816355833550344e-06,0.1386807173583237,0.34244490304663405,2.7755575615628914e-17,0.16779081552298458
76,normal,1,high,twist,0.03307338625741063,0.033073386257410645,1.3877787807814457e-17,0.033073386257410645,0.0,True,True,1,False,True,0.0,0.0,0.0,0.0,0.0,0.03409088047728498,0.0626610871099125,2.6502889264551492e-17,0.04047795981251389
76,normal,2,medium,mixed,0.06719676582578264,0.06696749600832567,0.0002292698174569674,0.06696749600832567,0.0,True,True,1,False,True,0.0,0.0,0.0,0.0,0.0,0.05743760037992726,0.1400171117974158,1.0408340855860843e-17,0.07731082355122747
76,normal,3,high,twist,0.05576755986816833,0.05512748169474398,0.0006400781734243535,0.05512748169474398,0.0,True,True,1,True,True,-0.027824214006322175,2.981770013872047e-19,-0.0,0.01112968560252887,1.6515986881485123e-06,0.05049701303820809,0.11219289779109362,3.469446951953614e-18,0.06320508445953472
76,normal,4,extreme,twist,0.052944711640578665,0.046497665442507496,0.0064470461980711685,0.046497665442507496,0.0,True,True,1,True,True,-0.02007475969098368,-9.93923337957349e-20,-0.0,0.008029903876393473,8.597247501882523e-07,0.045276033298844394,0.09211813810010994,6.938893903907228e-18,0.05279414022821201
76,normal,5,low,waviness,0.05505988741237958,0.054773655885831114,0.00028623152654846246,0.054773655885831114,0.0,True,True,1,True,True,-0.01016467510280245,-1.987846675914698e-19,-0.0086503984176214,0.0086503984176214,1.218142559664959e-06,0.04885536016196399,0.11452296177702413,2.0816681711721685e-17,0.0576015930413467
92,normal,1,high,bend,0.13482902395611512,0.13482902395611496,1.6653345369377348e-16,0.13482902395611496,0.0,True,True,1,False,True,0.0,0.0,0.0,0.0,0.0,0.15189851809293403,0.2410074730048318,2.951490303859594e-17,0.16957226626785174
92,normal,2,medium,twist,0.08668915033237093,0.08665018984196364,3.896049040728877e-05,0.08665018984196364,0.0,True,True,1,True,True,-0.07594925904646702,-8.455396884246981e-19,-0.0,0.030379703618586808,1.2305685226042355e-05,0.08913703227536776,0.16505821395836479,0.0,0.10391615971843875
92,normal,3,high,twist,0.0724352071077971,0.06942423201952902,0.0030109750882680864,0.06942423201952902,0.0,True,True,1,True,True,-0.035088022291651665,-0.0,-0.0,0.014035208916660666,2.6264945244574806e-06,0.07373136814512794,0.12997019166671311,2.7755575615628914e-17,0.08313764075976694
92,normal,4,extreme,mixed,0.13323289544851122,0.12570113410713052,0.007531761341380699,0.12570113410713052,0.0,True,True,1,True,True,0.6052324493871896,7.951386703658792e-19,0.1399420255229022,0.24209297975487581,0.0010425704180539643,0.11255026438240884,0.2612551020699117,2.220446049250313e-16,0.13559524171434295
92,normal,5,low,mixed,0.15191896472327063,0.15436214740460877,0.0024431826813381408,0.15436214740460877,0.0,True,True,1,True,True,-0.003078134152212658,0.004819274935960806,-0.0,0.004016062446634006,2.3526324203609052e-07,0.14196841994604956,0.3165846903784733,1.6653345369377348e-16,0.1679621430725183
93,normal,1,medium,mixed,0.07520964355790265,0.07433762324456941,0.0008720203133332355,0.07433762324456941,0.0,True,True,1,True,True,-0.0,-0.008983882898645,-0.0,0.007486569082204167,7.473162216348714e-07,0.08418084022126002,0.1323639331376631,1.3877787807814457e-17,0.09374191236892476
93,normal,2,medium,waviness,0.0919365093952462,0.08712711833701302,0.004809391058233178,0.08712711833701302,0.0,True,True,1,True,True,-0.04209042011063001,-3.975693351829396e-19,-0.0,0.016836168044252003,3.7794207255238974e-06,0.07503095487456524,0.18499853730556076,5.551115123125783e-17,0.0911827068297522
93,normal,3,high,mixed,0.2596604234206088,0.2603484003662207,0.0006879769456119011,0.21473887442822082,0.045609525937999884,False,False,4,True,True,-0.021045210055315015,-0.0341286798974627,-0.0,0.02844056658121892,1.1729732880857593e-05,0.22427913358639717,0.5515379164607909,1.6653345369377348e-16,0.2760328535206423
93,normal,4,low,mixed,0.32021773730588354,0.30240832220368785,0.01780941510219569,0.26197816433459575,0.0404301578690921,False,False,4,True,True,-0.09500945755857465,-0.018053204084411897,-0.0525414996566263,0.0525414996566263,5.908305037487657e-05,0.2597056336066923,0.6425312724124497,1.3877787807814457e-16,0.3173725039794521
93,normal,5,medium,mixed,0.3073717720315926,0.31911220241462607,0.011740430383033462,0.2905709713337069,0.02854123108091916,False,True,2,True,True,-0.08000651654322367,-0.017147504437881798,-0.0,0.03200260661728947,1.6378121704449878e-05,0.2923546776745262,0.6573088398189039,1.3877787807814457e-16,0.3421314716659701
96,normal,1,high,twist,0.01792121725514087,0.017921217255140964,9.367506770274758e-17,0.017921217255140964,0.0,True,True,1,False,True,0.0,0.0,0.0,0.0,0.0,0.018472558893650463,0.03395367340979294,1.4360913415467e-17,0.0219334756410794
96,normal,2,medium,waviness,0.07451940812331019,0.07432935442439477,0.00019005369891542112,0.07432935442439477,0.0,True,True,1,True,True,0.009236279446825231,4.1140986432953164e-19,-0.0,0.0036945117787300927,1.8199223044233852e-07,0.0773268117158109,0.14152022139931691,9.71445146547012e-17,0.08675244489856387
96,normal,3,high,offset,0.0738442893264043,0.07288963006969292,0.0009546592567113849,0.07288963006969292,0.0,True,True,1,True,True,-0.49429294871970475,2.782985346280577e-18,-0.0,0.1977171794878819,0.000521227774195244,0.07726905258441037,0.13690208167590429,1.1102230246251565e-16,0.08638289791598494
96,normal,4,extreme,bend,0.24288479280431957,0.1715261492182962,0.07135864358602337,0.1468294341050462,0.02469671511325,False,True,2,True,False,-0.10452356354174441,-0.0031592784044012223,-0.10445862250607252,0.10445862250607252,0.00016888750863124942,0.14309776486501258,0.3183049513932137,0.05513981019983666,0.1656339128087734
96,normal,5,low,bend,0.196343351493951,0.15789234506254368,0.03845100643140731,0.15789234506254368,0.0,True,True,1,True,True,-0.05064959281876995,0.0015796392022006135,-0.132806025917909,0.132806025917909,0.00024066179119989665,0.1351221151528783,0.3099504404205482,0.027569905120874177,0.160996068542535
99,normal,1,medium,mixed,0.03315712248775331,0.033157122487753224,8.326672684688674e-17,0.033157122487753224,0.0,True,True,1,True,True,0.2178304506891952,-0.0,-0.0,0.08713218027567808,0.00010122689119457684,0.032480040614928304,0.06564896574755089,2.7755575615628914e-17,0.03718420579009464
99,normal,2,medium,waviness,0.11155401313482523,0.11569930336045879,0.004145290225633563,0.11569930336045879,0.0,True,True,1,True,True,-0.004852462604545173,7.951386703658792e-19,-0.0,0.001940985041818069,5.023230576748654e-08,0.12683586424437848,0.21160197800730632,1.249000902703301e-16,0.14167950684953312
99,normal,3,high,mixed,0.125650203694452,0.12143675123864126,0.004213452455810757,0.12143675123864126,0.0,True,True,1,True,True,-0.11324111252423019,3.578124016646456e-18,-0.0,0.04529644500969208,2.735690574021411e-05,0.12755078217984456,0.22950185610341128,8.326672684688674e-17,0.1432095975366449
99,normal,4,low,mixed,0.16432700769607195,0.15900095363150593,0.005326054064566016,0.15900095363150593,0.0,True,True,1,True,True,0.21028928430381244,2.3854160110976377e-18,-0.0,0.08411571372152497,9.433937726508726e-05,0.15872743122748834,0.31144242134133165,5.551115123125783e-17,0.17949997860859906
