assembly_id,batch_condition,component_index,severity,scenario_type,predicted_quality,actual_quality,prediction_absolute_error,true_best_of_20_quality,absolute_regret,exact_best_hit,top3_hit,selected_true_rank,selected_beats_zero,best_was_structured_initial,z_adj,theta_adj,locator_offset,correction_utilization,capability_penalty,mean_gap,max_gap,parallelism,rms
41,normal,1,medium,twist,0.02533240218981978,0.0253324021898197,7.979727989493313e-17,0.0253324021898197,0.0,True,True,1,False,True,0.0,0.0,0.0,0.0,0.0,0.026111747026271035,0.04799496029723769,2.0299761409868907e-17,0.031003899927670747
41,normal,2,medium,waviness,0.03853759358629653,0.03882512844243221,0.0002875348561356822,0.03882512844243221,0.0,True,True,1,True,True,0.013055873513135518,5.81545326954013e-19,-0.0,0.005222349405254207,3.6363911080745305e-07,0.03537691763636787,0.08012998944051856,4.683753385137379e-17,0.041730563193662626
41,normal,3,high,bend,0.1753455166699005,0.17459922674548017,0.0007462899244203292,0.17459922674548017,0.0,True,True,1,False,True,0.0,0.0,0.0,0.0,0.0,0.1718103116599686,0.34325273842942144,1.0408340855860843e-17,0.20080311718663135
41,normal,4,low,twist,0.12721785618243875,0.1245604968666774,0.0026573593157613457,0.1245604968666774,0.0,True,True,1,True,True,-0.08571555455889251,2.981770013872047e-19,-0.0,0.034286221823557006,1.5673933425788754e-05,0.11228625812470379,0.25771523529740636,1.3877787807814457e-17,0.1356004884004436
41,normal,5,medium,bend,0.14509126289773377,0.1484281750297853,0.003336912132051534,0.09616571370742727,0.05226246132235804,False,True,2,True,True,-0.04332830881481603,3.975693351829396e-19,-0.0,0.017331323525926413,4.004997002137738e-06,0.1376862517310982,0.3022547446764407,0.0,0.16445876107523658
63,normal,1,medium,mixed,0.12176490708258575,0.12146743898785216,0.00029746809473359115,0.12146743898785216,0.0,True,True,1,True,True,-0.1711060193020257,-0.0,-0.0,0.06844240772081028,6.245817566162175e-05,0.1073578367192571,0.2545237172174615,5.551115123125783e-17,0.1290297280683658
63,normal,2,medium,mixed,0.2287506153916513,0.2328507912418061,0.004100175850154791,0.1721857350856713,0.060665056156134795,False,True,3,True,True,-0.048767088321880626,1.5902773407317584e-18,-0.0,0.01950683532875225,5.073554993907425e-06,0.21407801657786057,0.47806287837895084,3.469446951953614e-17,0.2520852275476268
63,normal,3,high,mixed,0.2445375549229983,0.23116667642170882,0.013370878501289485,0.17976727269007886,0.05139940373162996,False,True,2,True,True,-0.8981433175730067,9.93923337957349e-19,-0.0,0.35925732702920266,0.0017208776936555664,0.20391939612602447,0.48451619820563163,1.1102230246251565e-16,0.24635998122211944
63,normal,4,low,waviness,0.19833721029174933,0.19957637581044047,0.0012391655186911321,0.19957637581044047,0.0,True,True,1,True,True,-0.07447295005277084,3.180554681463517e-18,-0.0,0.029789180021108336,1.1831936617733334e-05,0.17637494757080197,0.4180914372709941,5.551115123125783e-17,0.21236460357901596
63,normal,5,medium,tilt,0.1904229777440904,0.1863635895446471,0.004059388199443292,0.1863635895446471,0.0,True,True,1,True,True,-0.037236475026385434,0.013033261025132302,-0.0,0.014894590010554173,4.5308164965558616e-06,0.1729123262869222,0.3808549622446087,5.551115123125783e-17,0.20233402985187818
65,normal,1,medium,twist,0.007071643361087788,0.007071643361087817,2.862293735361732e-17,0.007071643361087817,0.0,True,True,1,False,True,0.0,0.0,0.0,0.0,0.0,0.0072892006498673214,0.013397988860607534,5.6667611673817275e-18,0.00865486507945358
65,normal,2,medium,tilt,0.007165055417716238,0.0050235111743866055,0.002141544243329633,0.0050235111743866055,0.0,True,True,1,True,True,0.0036446003249336607,0.007170438703609,-0.0,0.005975365586340834,5.044038897998318e-07,0.005018006986434858,0.009753388535673875,0.0,0.005920925177539857
