state_number,component_index,trajectory_type,config,predicted_quality,utilization,effort,penalty,objective,quality_cost_vs_standard,utilization_reduction_vs_standard,z_adj,theta_adj,locator_offset
1,1,heuristic,P0_STANDARD,0.7518180155641236,1.0,0.5773979820171959,0.0,0.7518180155641236,0.0,0.0,-0.028801358850085723,-0.0068479941844989956,-1.0
1,1,heuristic,P1_MILD,0.9211033268780191,1.0,0.5812591504178468,0.21013586599833434,1.1312391928763534,0.16928531131389546,0.0,-0.291201824783633,-0.005208524249237012,1.0
1,1,heuristic,P2_BALANCED,1.7984218097731348,0.848406512589721,0.5060042834582724,0.012802016743905987,1.8112238265170408,1.0466037942090112,0.151593487410279,-2.1210162814743025,-0.05584393074885696,-0.2148528288304683
1,1,heuristic,P3_STRONG,1.7984218097731348,0.848406512589721,0.5060042834582724,0.031116884154808372,1.8295386939279432,1.0466037942090112,0.151593487410279,-2.1210162814743025,-0.05584393074885696,-0.2148528288304683
1,1,heuristic,P4_BARRIER,0.07474572967639115,0.07192035382852757,0.0436032290422397,7.604966331640062e-05,0.07482177933970754,-0.6770722858877325,0.9280796461714724,-0.003089496909399969,-0.027617218680886513,-0.07192035382852757
2,1,partial,P0_STANDARD,0.2576479474400918,0.09752125281618743,0.0631947462933109,0.0,0.2576479474400918,0.0,0.0,-0.24380313204046855,-0.005864244072117275,-0.0494616177192454
2,1,partial,P1_MILD,0.33095403893620684,0.07140279427313168,0.04346349956839123,5.667227384194635e-05,0.33101071121004877,0.07330609149611506,0.02611845854305575,0.054511476524469415,-0.011598990595442116,-0.07140279427313168
2,1,partial,P2_BALANCED,0.4553668141607106,0.18290832415684938,0.12273656854045005,0.0007532132628542297,0.45612002742356483,0.19771886672061884,-0.08538707134066195,-0.4572708103921235,-0.030923372568223195,0.10522962878062492
2,1,partial,P3_STRONG,0.45536681416071056,0.18290832415684938,0.12273656854045005,0.0012051412205667676,0.4565719553812773,0.19771886672061878,-0.08538707134066195,-0.4572708103921235,-0.030923372568223195,0.10522962878062492
2,1,partial,P4_BARRIER,0.2744763617304496,0.0650881766528909,0.04269510730696721,7.29148875181378e-05,0.27454927661796774,0.016828414290357807,0.03243307616329652,-0.08406867113735128,-0.012080084122683576,-0.0650881766528909
3,1,random_feasible,P0_STANDARD,0.7181238986512614,1.0,0.5773510639716761,0.0,0.7181238986512614,0.0,0.0,0.0013416242842083648,0.0018841202882389219,-1.0
3,1,random_feasible,P1_MILD,0.725842899324391,1.0,0.5812780198649485,0.21013652409134348,0.9359794234157346,0.0077190006731296945,0.0,-0.2920960972394342,-0.0013081270094579267,-1.0
