metric,value
n_decisions,500.0
n_positive_regret_decisions,33.0
n_exact_best_misses,33.0
total_accumulated_regret,1.1628335881874385
base_positive_regret_rate_percent,6.6000000000000005
base_exact_miss_rate_percent,6.6000000000000005
maximum_trigger_rate_percent,20.0
selected_trigger_rate_percent,20.0
selected_regret_capture_percent,77.79132112034785
selected_positive_regret_capture_percent,75.75757575757575
selected_exact_miss_capture_percent,75.75757575757575
selected_positive_regret_precision_percent,25.0
selected_exact_miss_precision_percent,25.0
selected_positive_regret_lift,3.7878787878787876
selected_exact_miss_lift,3.7878787878787876
selected_regret_concentration,3.8895660560173924
selected_margin_threshold,0.02800373921277925
selected_tree_std_threshold,
selected_utilization_threshold,
