metric,value
zero_mean_final_quality,1.0514311644530259
structured20_mean_final_quality,0.21449795104827613
warmstart_bo_mean_final_quality,0.2149941445658204
structured20_win_vs_zero_percent,99.0
structured20_win_vs_random_percent,100.0
structured20_win_vs_old_bo_percent,99.0
warmstart_win_vs_structured20_percent,65.0
structured20_win_vs_warmstart_percent,9.0
mean_warmstart_minus_structured20_quality,0.0004961935175442989
median_warmstart_minus_structured20_quality,-2.7755575615628914e-17
structured20_mean_prediction_abs_error,0.01288703490584157
structured20_exact_best_hit_rate_percent,93.4
structured20_top3_hit_rate_percent,100.0
structured20_mean_regret,0.00232566717637488
structured20_p95_regret,0.005403219571299818
structured20_mean_utilization,0.11526075010464967
structured20_near_limit_rate_percent,0.0
