metric,old_standard_bo,new_closed_loop_p4_bo,difference_new_minus_old
mean_final_quality,1.1975804212792183,1.3435977801099472,0.14601735883072897
median_final_quality,1.1896245047094898,1.2647197459347987,0.07509524122530897
p95_final_quality,2.00704646458513,2.48754111779074,0.48049465320561024
win_rate_vs_zero_percent,52.0,42.0,-10.0
win_rate_vs_random_percent,68.0,67.0,-1.0
mean_prediction_abs_error,0.22118658287163825,0.27728372402899537,0.05609714115735712
p95_prediction_abs_error,0.6012210453471556,0.8140807665862159,0.21285972123906027
stage5_prediction_abs_error,0.29429115896956504,0.3272044546214705,0.03291329565190548
mean_correction_utilization,0.948060463558619,0.6260264486566418,-0.32203401490197714
near_capability_ge_90_percent,90.8,28.4,-62.4
at_capability_ge_99_9_percent,87.4,22.8,-64.60000000000001
