metric,value
n_decisions,500.0
high_regret_threshold_p90,0.0
n_high_regret_decisions,500.0
n_exact_best_misses,33.0
max_trigger_rate_screen_percent,20.0
provisional_trigger_rate_percent,20.0
provisional_high_regret_capture_percent,20.0
provisional_exact_miss_capture_percent,75.75757575757575
provisional_high_regret_precision_percent,100.0
provisional_exact_miss_precision_percent,25.0
provisional_margin_threshold,0.02800373921277931
provisional_tree_std_threshold,
provisional_utilization_threshold,
