model,component_index,decision_states,exact_best_hit_rate_percent,top3_hit_rate_percent,top5_hit_rate_percent,median_true_rank_of_predicted_best,mean_absolute_regret,median_absolute_regret,p95_absolute_regret,mean_rank_correlation,selected_beats_zero_rate_percent,true_best_beats_zero_rate_percent,mean_selected_improvement_vs_zero_percent,median_best_to_second_quality_gap
scalar_rf,1,800,94.5,99.875,100.0,1.0,0.0035707230746810145,0.0,0.0015811916547217894,0.9952433714758278,86.125,89.625,63.415830815935294,0.12394792826035611
scalar_rf,2,800,79.5,98.5,99.625,1.0,0.028255105378551252,0.0,0.1804655119718727,0.9900503056884635,93.125,96.375,56.32860251441375,0.10240374330760571
scalar_rf,3,800,73.5,96.875,99.375,1.0,0.04638177962301907,0.0,0.27364511026488897,0.986844152679679,95.0,97.5,54.42995495144991,0.1124522243171153
scalar_rf,4,800,69.0,94.125,98.875,1.0,0.07012321296049455,0.0,0.34212287161895966,0.9840097402597402,95.75,98.375,51.43221491591719,0.0983056693589352
scalar_rf,5,800,70.625,95.75,99.0,1.0,0.06180670297871313,0.0,0.3431682589992322,0.9852288950490705,96.25,97.875,49.465207221443876,0.10612866962097628
profile_aware_rf,1,800,95.25,99.875,100.0,1.0,0.0033360475013949242,0.0,0.0,0.99524174915403,86.875,89.625,63.54109996476229,0.12394792826035611
profile_aware_rf,2,800,80.5,98.25,99.625,1.0,0.0244918215150418,0.0,0.16811710595474777,0.9904918630751964,93.875,96.375,56.69779802620189,0.10240374330760571
profile_aware_rf,3,800,74.625,97.125,99.625,1.0,0.04306603284606748,0.0,0.2511327411120241,0.9876461007316272,95.375,97.5,54.684886737187405,0.1124522243171153
profile_aware_rf,4,800,69.75,95.375,99.0,1.0,0.05807784769118908,0.0,0.3144934302335665,0.9848636363636364,96.125,98.375,51.69921629289897,0.0983056693589352
profile_aware_rf,5,800,73.125,96.0,98.875,1.0,0.05891329697687153,0.0,0.3109191642212586,0.9861120108773618,96.5,97.875,49.70132540009785,0.10612866962097628
