metric,value
zero_mean_final_quality,1.0514311644530259
random_mean_final_quality,1.7942475532082258
old_bo_mean_final_quality,1.1975804212792183
structured_rf_mean_final_quality,0.21449795104827604
warmstart_bo_mean_final_quality,0.21499414456582044
warmstart_win_vs_zero_percent,99.0
warmstart_win_vs_random_percent,100.0
warmstart_win_vs_old_bo_percent,100.0
warmstart_win_vs_structured_rf_percent,11.0
mean_prediction_absolute_error,0.01440932273065506
exact_best_hit_rate_percent,76.8
top3_hit_rate_percent,95.6
mean_regret,0.011233620958488707
p95_regret,0.07823568505065666
selected_beats_zero_rate_percent,92.60000000000001
bo_refinement_selected_rate_percent,4.8
mean_correction_utilization,0.1161023707191849
near_limit_rate_percent,0.0
