metric,value
assemblies,300.0
component_decisions,1500.0
zero_mean_final_quality,0.9504759382078684
deterministic_mean_final_quality,0.22019679775403692
structured_mean_final_quality,0.23858657116614462
mean_bounded_residual_ratio,0.49630730287443675
median_bounded_residual_ratio,0.47040320072368474
p95_bounded_residual_ratio,0.9807261505297232
mean_unbounded_residual_ratio,0.49630730287443675
mean_bounded_explained_energy,0.6590097847192696
mean_unbounded_explained_energy,0.6590097847192696
mean_capability_residual_penalty,0.0
structured_component_win_percent,34.599999999999994
correlation_bounded_residual_vs_structured_advantage,0.26592480557960246
correlation_unbounded_residual_vs_structured_advantage,0.26592480557960246
correlation_capability_penalty_vs_structured_advantage,
correlation_assembly_basis_vs_final_structured_advantage,0.28735740680473265
least_squares_success_percent,100.0
max_abs_replay_difference_vs_frozen_baseline,9.71445146547012e-17
