metric,value
zero_mean_final_quality,0.9504759382078684
lsq_mean_final_quality,0.2201967977540369
structured20_mean_final_quality,0.2385865711661446
selective_bo_mean_final_quality,0.2376584851737425
direct_reference_mean_final_quality,0.1701710463976552
lsq_improvement_vs_zero_percent,76.83299609149284
structured20_improvement_vs_zero_percent,74.89819977810255
selective_bo_improvement_vs_zero_percent,74.99584412185646
direct_improvement_vs_zero_percent,82.096227841547
structured20_minus_lsq_quality,0.018389773412107707
selective_bo_minus_structured20_quality,-0.0009280859924021001
lsq_minus_direct_quality,0.05002575135638168
structured20_minus_direct_quality,0.06841552476848939
mean_direct_simulator_evaluations_per_decision,784.2
structured_runtime_seconds_if_available,
selective_runtime_seconds_if_available,
total_validation_runtime_seconds_if_available,1854.3932268619535
