metric,value
assemblies,300.0
structured20_wins,126.0
deterministic_lsq_wins,174.0
ties,0.0
structured20_win_percent,42.0
deterministic_lsq_win_percent,58.0
tie_percent,0.0
mean_zero_final_quality,0.9504759382078682
mean_structured_final_quality,0.23858657116614462
mean_deterministic_final_quality,0.22019679775403692
mean_structured_advantage,-0.01838977341210773
bootstrap_95ci_lower,-0.025532967289208324
bootstrap_95ci_upper,-0.011428047490805676
structured_closer_to_direct_percent,42.333333333333336
correlation_initial_quality_vs_structured_advantage,-0.06196251268111867
correlation_component_quality_vs_structured_advantage,-0.07986249712747504
correlation_lsq_utilization_vs_structured_advantage,-0.4106974399771807
