feature_set,fold,test_group,test_assemblies,test_decisions,assembly_overlap,attention_prevalence,balanced_accuracy,attention_recall,attention_precision,normal_specificity,f1_attention,roc_auc,pr_auc
PRIVILEGED,1,0.0|0.0|0.0|1.0,50,250,0,0.484,0.6233903517201614,0.4793388429752066,0.6590909090909091,0.7674418604651163,0.5550239234449761,0.6785508360561215,0.6818510586147861
PRIVILEGED,2,0.272775962|0.0|0.0|1.0,10,50,0,0.16,0.6279761904761905,0.375,0.375,0.8809523809523809,0.375,0.8392857142857143,0.5228896103896103
PRIVILEGED,3,0.1709503966|0.0|0.0|1.0,10,50,0,0.3,0.6952380952380952,0.5333333333333333,0.6153846153846154,0.8571428571428571,0.5714285714285714,0.8533333333333333,0.760079265127219
PRIVILEGED,4,0.191853972|0.0|0.0|1.0,10,50,0,0.28,0.6825396825396826,0.6428571428571429,0.47368421052631576,0.7222222222222222,0.5454545454545454,0.8234126984126984,0.6652759364615412
PRIVILEGED,5,0.1649572032|0.0|0.0|1.0,10,50,0,0.4,0.6916666666666667,0.55,0.6875,0.8333333333333334,0.6111111111111112,0.825,0.804183937483437
PRIVILEGED,6,0.2011495459|0.0|0.0|1.0,10,50,0,0.24,0.8486842105263157,0.75,0.8181818181818182,0.9473684210526315,0.782608695652174,0.9583333333333333,0.8715892416550313
PRIVILEGED,7,0.0|0.0174033752|0.0|1.0,10,50,0,0.14,0.7641196013289037,0.7142857142857143,0.38461538461538464,0.813953488372093,0.5,0.7342192691029898,0.5425744357111344
PRIVILEGED,8,0.0|0.0112521059|0.0|1.0,10,50,0,0.5,0.72,0.56,0.8235294117647058,0.88,0.6666666666666666,0.7488,0.8097981671436347
PRIVILEGED,9,0.0|0.0084961073|0.0|1.0,10,50,0,0.32,0.7095588235294117,0.625,0.5882352941176471,0.7941176470588235,0.6060606060606061,0.7555147058823529,0.6263364294498089
PRIVILEGED,10,0.0|0.0149571047|0.0|1.0,10,50,0,0.32,0.6783088235294117,0.5625,0.5625,0.7941176470588235,0.5625,0.8290441176470589,0.692880907207595
PRIVILEGED,11,0.0|0.0093809984|0.0|1.0,10,50,0,0.42,0.770935960591133,0.7142857142857143,0.75,0.8275862068965517,0.7317073170731707,0.8013136288998358,0.7693843648587382
PRIVILEGED,12,0.0|0.0|0.184930478|1.0,10,50,0,0.2,0.7625,0.9,0.375,0.625,0.5294117647058824,0.9325000000000001,0.8053418803418803
PRIVILEGED,13,0.0|0.0|0.1366679304|1.0,10,50,0,0.3,0.8,0.8,0.631578947368421,0.8,0.7058823529411765,0.8152380952380953,0.6366525722173989
PRIVILEGED,14,0.0|0.0|0.2587991435|1.0,10,50,0,0.44,0.788961038961039,0.8636363636363636,0.7037037037037037,0.7142857142857143,0.7755102040816326,0.8944805194805194,0.8952195542860736
PRIVILEGED,15,0.0|0.0|0.2076964103|1.0,10,50,0,0.46,0.6127214170692432,0.5217391304347826,0.6,0.7037037037037037,0.5581395348837209,0.7246376811594203,0.7636787210254745
PRIVILEGED,16,0.0|0.0|0.2123326031|1.0,10,50,0,0.38,0.6867572156196944,0.631578947368421,0.6,0.7419354838709677,0.6153846153846154,0.7758913412563666,0.7069842548211014
PRIVILEGED,17,0.0|0.0|0.0|1.5,50,250,0,0.568,0.6510172143974962,0.7464788732394366,0.6883116883116883,0.5555555555555556,0.7162162162162162,0.738132498695879,0.772060164321775
PRIVILEGED,18,0.0798206213|0.0027345039|0.1710055022|1.5,10,50,0,0.66,0.6720142602495545,0.696969696969697,0.7931034482758621,0.6470588235294118,0.7419354838709677,0.7344028520499108,0.8592928197444534
PRIVILEGED,19,0.1684955589|0.0155630917|0.0910838235|1.5,10,50,0,0.3,0.6666666666666667,0.5333333333333333,0.5333333333333333,0.8,0.5333333333333333,0.7638095238095238,0.6110797390209155
PRIVILEGED,20,0.1475606707|0.0099327972|0.2653426527|1.5,10,50,0,0.6,0.7083333333333333,0.6666666666666666,0.8,0.75,0.7272727272727273,0.73,0.8207909949189321
PRIVILEGED,21,0.189477599|0.0152901594|0.0959210115|1.5,10,50,0,0.34,0.7040998217468806,0.5294117647058824,0.6923076923076923,0.8787878787878788,0.6,0.7950089126559715,0.6716617969520446
PRIVILEGED,22,0.1038869277|0.0104726728|0.1544788238|1.5,10,50,0,0.34,0.7878787878787878,1.0,0.5483870967741935,0.5757575757575758,0.7083333333333334,0.8609625668449198,0.760100649264736
OBSERVABLE,1,0.0|0.0|0.0|1.0,50,250,0,0.484,0.6443398039592543,0.4049586776859504,0.765625,0.8837209302325582,0.5297297297297298,0.6578896790313281,0.712050749070814
OBSERVABLE,2,0.272775962|0.0|0.0|1.0,10,50,0,0.16,0.8392857142857143,0.75,0.6666666666666666,0.9285714285714286,0.7058823529411765,0.9523809523809523,0.8696428571428572
OBSERVABLE,3,0.1709503966|0.0|0.0|1.0,10,50,0,0.3,0.8761904761904762,0.8666666666666667,0.7647058823529411,0.8857142857142857,0.8125,0.9199999999999999,0.8632178491443198
OBSERVABLE,4,0.191853972|0.0|0.0|1.0,10,50,0,0.28,0.7579365079365079,0.5714285714285714,0.8,0.9444444444444444,0.6666666666666666,0.9384920634920635,0.8637193362193362
OBSERVABLE,5,0.1649572032|0.0|0.0|1.0,10,50,0,0.4,0.7666666666666666,0.6,0.8571428571428571,0.9333333333333333,0.7058823529411765,0.9149999999999999,0.8348597027120301
OBSERVABLE,6,0.2011495459|0.0|0.0|1.0,10,50,0,0.24,0.7236842105263157,0.5,0.75,0.9473684210526315,0.6,0.8114035087719298,0.7069079400281447
OBSERVABLE,7,0.0|0.0174033752|0.0|1.0,10,50,0,0.14,0.6926910299003322,0.5714285714285714,0.3333333333333333,0.813953488372093,0.42105263157894735,0.7674418604651163,0.5253427128427128
OBSERVABLE,8,0.0|0.0112521059|0.0|1.0,10,50,0,0.5,0.8,0.76,0.8260869565217391,0.84,0.7916666666666666,0.92,0.9294883565121956
OBSERVABLE,9,0.0|0.0084961073|0.0|1.0,10,50,0,0.32,0.8308823529411764,0.75,0.8,0.9117647058823529,0.7741935483870968,0.8676470588235294,0.7889383119222086
OBSERVABLE,10,0.0|0.0149571047|0.0|1.0,10,50,0,0.32,0.7830882352941176,0.625,0.8333333333333334,0.9411764705882353,0.7142857142857143,0.8694852941176471,0.8122174475766599
OBSERVABLE,11,0.0|0.0093809984|0.0|1.0,10,50,0,0.42,0.541871921182266,0.42857142857142855,0.47368421052631576,0.6551724137931034,0.45,0.6157635467980295,0.6330032321719443
OBSERVABLE,12,0.0|0.0|0.184930478|1.0,10,50,0,0.2,0.675,0.6,0.375,0.75,0.46153846153846156,0.8075,0.6312366065307242
OBSERVABLE,13,0.0|0.0|0.1366679304|1.0,10,50,0,0.3,0.719047619047619,0.6666666666666666,0.5555555555555556,0.7714285714285715,0.6060606060606061,0.8133333333333334,0.7144590138793037
OBSERVABLE,14,0.0|0.0|0.2587991435|1.0,10,50,0,0.44,0.8376623376623377,0.8181818181818182,0.8181818181818182,0.8571428571428571,0.8181818181818182,0.913961038961039,0.913514565848804
OBSERVABLE,15,0.0|0.0|0.2076964103|1.0,10,50,0,0.46,0.7552334943639292,0.6956521739130435,0.7619047619047619,0.8148148148148148,0.7272727272727273,0.8325281803542672,0.8432711236617212
OBSERVABLE,16,0.0|0.0|0.2123326031|1.0,10,50,0,0.38,0.8463497453310695,0.7894736842105263,0.8333333333333334,0.9032258064516129,0.8108108108108109,0.8505942275042444,0.8742238479080584
OBSERVABLE,17,0.0|0.0|0.0|1.5,50,250,0,0.568,0.7330464267083985,0.7253521126760564,0.7862595419847328,0.7407407407407407,0.7545787545787546,0.8170318205529473,0.8656818535533809
OBSERVABLE,18,0.0798206213|0.0027345039|0.1710055022|1.5,10,50,0,0.66,0.7308377896613191,0.696969696969697,0.8518518518518519,0.7647058823529411,0.7666666666666667,0.803921568627451,0.8908661975267831
OBSERVABLE,19,0.1684955589|0.0155630917|0.0910838235|1.5,10,50,0,0.3,0.7761904761904761,0.6666666666666666,0.7142857142857143,0.8857142857142857,0.6896551724137931,0.9028571428571428,0.855166539537249
OBSERVABLE,20,0.1475606707|0.0099327972|0.2653426527|1.5,10,50,0,0.6,0.8166666666666667,0.8333333333333334,0.8620689655172413,0.8,0.847457627118644,0.9033333333333333,0.947580399509707
OBSERVABLE,21,0.189477599|0.0152901594|0.0959210115|1.5,10,50,0,0.34,0.8065953654188949,0.7647058823529411,0.7222222222222222,0.8484848484848485,0.7428571428571429,0.8449197860962566,0.7935671473526988
OBSERVABLE,22,0.1038869277|0.0104726728|0.1544788238|1.5,10,50,0,0.34,0.8957219251336899,0.8823529411764706,0.8333333333333334,0.9090909090909091,0.8571428571428571,0.9180035650623886,0.8404189491908545
FULL,1,0.0|0.0|0.0|1.0,50,250,0,0.484,0.6841245435325773,0.4380165289256198,0.8548387096774194,0.9302325581395349,0.5792349726775956,0.7224037414312255,0.7642108903198007
FULL,2,0.272775962|0.0|0.0|1.0,10,50,0,0.16,0.9017857142857143,0.875,0.7,0.9285714285714286,0.7777777777777778,0.8988095238095237,0.8722222222222222
FULL,3,0.1709503966|0.0|0.0|1.0,10,50,0,0.3,0.9428571428571428,1.0,0.7894736842105263,0.8857142857142857,0.8823529411764706,0.9828571428571429,0.9556505912388265
FULL,4,0.191853972|0.0|0.0|1.0,10,50,0,0.28,0.9444444444444444,1.0,0.7777777777777778,0.8888888888888888,0.875,0.996031746031746,0.9910714285714285
FULL,5,0.1649572032|0.0|0.0|1.0,10,50,0,0.4,0.9,0.9,0.8571428571428571,0.9,0.8780487804878049,0.9333333333333333,0.8879157933569699
FULL,6,0.2011495459|0.0|0.0|1.0,10,50,0,0.24,0.861842105263158,0.75,0.9,0.9736842105263158,0.8181818181818182,0.9846491228070176,0.9455657768157768
FULL,7,0.0|0.0174033752|0.0|1.0,10,50,0,0.14,0.7990033222591362,0.7142857142857143,0.5,0.8837209302325582,0.5882352941176471,0.8239202657807309,0.6595238095238094
