assembly_index,budget,final_quality
1,LOW_8x5,0.37761238141159087
2,LOW_8x5,0.3896301587126809
3,LOW_8x5,0.3272634934176157
4,LOW_8x5,0.22198135536501612
5,LOW_8x5,0.25407897879479446
6,LOW_8x5,0.32274319251595546
7,LOW_8x5,0.22762702434086127
8,LOW_8x5,0.37790177259847807
9,LOW_8x5,0.2441628143593656
10,LOW_8x5,0.571259759372421
11,LOW_8x5,0.2718014661224238
12,LOW_8x5,0.3998967165021634
13,LOW_8x5,0.16444293801734663
14,LOW_8x5,0.3768057438209054
15,LOW_8x5,0.16934448662109053
16,LOW_8x5,0.20576494010533936
17,LOW_8x5,0.14708084997911536
18,LOW_8x5,0.20488452382208044
19,LOW_8x5,0.3035963443472319
20,LOW_8x5,0.3780609764707338
21,LOW_8x5,0.22656135855333903
22,LOW_8x5,0.4522678967369076
23,LOW_8x5,0.28925216937617737
24,LOW_8x5,0.3959381346176606
25,LOW_8x5,0.3231316519118767
26,LOW_8x5,0.30508604600123707
27,LOW_8x5,0.5452707760150117
28,LOW_8x5,0.2159027286439031
29,LOW_8x5,0.2895362912490231
30,LOW_8x5,0.4901285205265137
1,MEDIUM_18x7,0.22715355715995214
2,MEDIUM_18x7,0.3966920964934461
3,MEDIUM_18x7,0.27114521672746306
4,MEDIUM_18x7,0.22325136833162934
5,MEDIUM_18x7,0.2563451734782674
6,MEDIUM_18x7,0.3237227425664897
7,MEDIUM_18x7,0.23401593407696125
8,MEDIUM_18x7,0.35628902835526965
9,MEDIUM_18x7,0.24554983475357223
10,MEDIUM_18x7,0.5348602833050302
11,MEDIUM_18x7,0.26273170483632785
12,MEDIUM_18x7,0.3998964845468414
13,MEDIUM_18x7,0.1658228826667429
14,MEDIUM_18x7,0.15650006061206653
15,MEDIUM_18x7,0.16885904698820564
16,MEDIUM_18x7,0.2062302821976921
17,MEDIUM_18x7,0.14705016947628713
18,MEDIUM_18x7,0.205782225670114
19,MEDIUM_18x7,0.30295579286026636
20,MEDIUM_18x7,0.37811875035532105
21,MEDIUM_18x7,0.22257427222395643
22,MEDIUM_18x7,0.36884675059277205
23,MEDIUM_18x7,0.2898989854853051
24,MEDIUM_18x7,0.39684615115090904
25,MEDIUM_18x7,0.32404514694422426
26,MEDIUM_18x7,0.3064407330555824
27,MEDIUM_18x7,0.5456373759478355
28,MEDIUM_18x7,0.10204584987753085
29,MEDIUM_18x7,0.2899612501173831
30,MEDIUM_18x7,0.45842005418826604
1,HIGH_30x10,0.2227868061135959
2,HIGH_30x10,0.3896560797342181
3,HIGH_30x10,0.2704179627929949
4,HIGH_30x10,0.22145908413687723
5,HIGH_30x10,0.25407755661364106
6,HIGH_30x10,0.32272562874942445
7,HIGH_30x10,0.2279667187003343
8,HIGH_30x10,0.3540724150119227
9,HIGH_30x10,0.24416554331184576
10,HIGH_30x10,0.5348373869579743
11,HIGH_30x10,0.262752566507836
12,HIGH_30x10,0.3999148469508418
13,HIGH_30x10,0.16454227454858888
14,HIGH_30x10,0.15669441087929217
15,HIGH_30x10,0.16856924320365219
16,HIGH_30x10,0.20585147249937144
17,HIGH_30x10,0.14700267410617096
18,HIGH_30x10,0.20518709523166279
19,HIGH_30x10,0.30295655259390003
20,HIGH_30x10,0.3776275160814094
21,HIGH_30x10,0.2221834263946353
22,HIGH_30x10,0.3689055259521019
23,HIGH_30x10,0.2895441640794176
24,HIGH_30x10,0.3960999906992069
25,HIGH_30x10,0.32319433848581824
26,HIGH_30x10,0.30513229340204023
27,HIGH_30x10,0.5453424929308384
28,HIGH_30x10,0.10097957429961606
29,HIGH_30x10,0.28958348535997963
30,HIGH_30x10,0.45589344590149905
