scope,target,metric,value
independent_validation,delta_z_mm,mae,0.0484122704387497
independent_validation,delta_z_mm,rmse,0.0863128861015808
independent_validation,delta_z_mm,r2,0.1519696848455566
independent_validation,delta_z_mm,improvement_vs_zero_percent,19.20393313046369
independent_validation,delta_theta_deg,mae,0.0049157640323986
independent_validation,delta_theta_deg,rmse,0.0066756285469784
independent_validation,delta_theta_deg,r2,0.7821422599238494
independent_validation,delta_theta_deg,improvement_vs_zero_percent,55.37176978402104
independent_validation,delta_locator_mm,mae,0.104279131497718
independent_validation,delta_locator_mm,rmse,0.1669786019203305
independent_validation,delta_locator_mm,r2,0.0509109530452902
independent_validation,delta_locator_mm,improvement_vs_zero_percent,4.73437822933833
grouped_cross_validation,delta_locator_mm,mean_mae,0.1060869976448767
grouped_cross_validation,delta_locator_mm,mean_r2,0.0384928331022962
grouped_cross_validation,delta_theta_deg,mean_mae,0.004972189018401
grouped_cross_validation,delta_theta_deg,mean_r2,0.7790282357445872
grouped_cross_validation,delta_z_mm,mean_mae,0.0489636210704953
grouped_cross_validation,delta_z_mm,mean_r2,0.1581256435412441
dataset,all,training_rows,3000.0
dataset,all,validation_rows,600.0
dataset,all,observable_feature_count,26.0
vector,all,mean_true_residual_vector_norm,0.1349541341981971
vector,all,mean_prediction_error_vector_norm,0.121885981792907
vector,all,median_prediction_error_vector_norm,0.069643162903931
