Stage,LSQ mean quality,Hybrid mean quality,Hybrid - LSQ,Hybrid wins (%)
1,0.1672277333700833,0.1346594809404631,-0.0325682524296202,93.33333333333331
2,0.2179286184898221,0.1737842332098515,-0.0441443852799706,96.33333333333334
3,0.2667805863117188,0.2196899158362514,-0.0470906704754674,93.0
4,0.2922731700970665,0.2429787786241859,-0.0492943914728805,94.33333333333334
5,0.3312666410169146,0.2762504275817967,-0.0550162134351179,93.0
6,0.3580707714401559,0.3046528885549328,-0.0534178828852231,94.33333333333334
7,0.3793103542405603,0.3212507293832747,-0.0580596248572855,93.33333333333331
8,0.4138246928585113,0.3497265266187265,-0.0640981662397847,95.33333333333334
9,0.4307166722643473,0.3679473901159825,-0.0627692821483648,95.0
10,0.4517495484547423,0.3888392976994758,-0.0629102507552665,94.66666666666669
