metric,value
sequence_length,10.0
nonlinearity_strength,1.0
training_assemblies,300.0
validation_assemblies,60.0
training_decisions,3000.0
validation_decisions,600.0
train_validation_assembly_overlap,0.0
observable_feature_count,26.0
mean_lsq_true_quality,0.3125219229193706
mean_reference_true_quality,0.25260133543027197
reference_beats_lsq_percent,86.0
mean_reference_gain_over_lsq,0.05992058748909866
mean_reference_relative_gain_percent,15.534213297876448
mean_abs_target_delta_z_mm,0.060101089237949136
mean_abs_target_delta_theta_deg,0.01105436537542362
mean_abs_target_delta_locator_mm,0.11121829977247992
mean_reference_evaluations,744.9088888888889
lsq_solver_success_percent,100.0
reference_optimizer_success_percent,0.0
generation_runtime_seconds,352.20266366004944
