target,mae,rmse,r2,mean_abs_target,zero_prediction_mae,relative_mae_percent,improvement_vs_zero_percent,fold,test_rows,test_assemblies
delta_z_mm,0.0510404980203345,0.08642487515872273,0.1855246254081706,0.06386251946540092,0.06386251946540092,79.92246226362387,20.077537736376122,1,600,60
delta_theta_deg,0.004986297621522054,0.006889201491369927,0.7473884204693044,0.010471197401599373,0.010471197401599373,47.61917314977221,52.38082685022779,1,600,60
delta_locator_mm,0.107696210667087,0.1675184571258819,0.03192782496549795,0.11320105694507442,0.11320105694507442,95.13710699657302,4.862893003426983,1,600,60
delta_z_mm,0.0556572443294616,0.09007715860155083,0.11733408161297043,0.0662452699760443,0.0662452699760443,84.01693335930014,15.983066640699862,2,600,60
delta_theta_deg,0.005393115970029502,0.007111699646055396,0.7562720012382096,0.011235119655004252,0.011235119655004252,48.002301138175646,51.997698861824354,2,600,60
delta_locator_mm,0.11590710566103271,0.18281531104515492,0.03957085870729793,0.12064169157616099,0.12064169157616099,96.0754977377457,3.9245022622542876,2,600,60
delta_z_mm,0.047473971921831164,0.08616676404899044,0.16405202976880695,0.05946280800383838,0.05946280800383838,79.83809294503325,20.16190705496674,3,600,60
delta_theta_deg,0.00506423853629643,0.006752128301932407,0.799980813163317,0.01173131447704305,0.01173131447704305,43.16855153961317,56.831448460386824,3,600,60
delta_locator_mm,0.1074880637648623,0.18074415235936786,0.053448580578381755,0.11452111737086122,0.11452111737086122,93.85872774605986,6.141272253940146,3,600,60
delta_z_mm,0.04234121065074254,0.06999737012081723,0.2108942261322312,0.054376864216376455,0.054376864216376455,77.86622355099104,22.133776449008963,4,600,60
delta_theta_deg,0.004725055366568518,0.0065061744622062845,0.7772792107158116,0.010534379950251953,0.010534379950251953,44.8536638025431,55.1463361974569,4,600,60
delta_locator_mm,0.0983782454592032,0.15673556197682056,0.05136430062731623,0.1065722113332938,0.1065722113332938,92.31134854801427,7.688651451985725,4,600,60
delta_z_mm,0.048305180430107,0.07960984659739082,0.11282325478404165,0.05673998077735914,0.05673998077735914,85.13429114410653,14.86570885589348,5,600,60
delta_theta_deg,0.00469223759758889,0.006139765481564406,0.8142207331362935,0.011339260372721238,0.011339260372721238,41.3804555443225,58.61954445567749,5,600,60
delta_locator_mm,0.1009653626721983,0.16997534723489044,0.01615260063298718,0.10291227082581961,0.10291227082581961,98.10818657678202,1.8918134232179906,5,600,60
