scope,target,metric,value
independent_validation,delta_z_mm,mae,0.048412270438749724
independent_validation,delta_z_mm,rmse,0.08631288610158087
independent_validation,delta_z_mm,r2,0.15196968484555662
independent_validation,delta_z_mm,improvement_vs_zero_percent,19.20393313046369
independent_validation,delta_theta_deg,mae,0.004915764032398692
independent_validation,delta_theta_deg,rmse,0.006675628546978421
independent_validation,delta_theta_deg,r2,0.7821422599238494
independent_validation,delta_theta_deg,improvement_vs_zero_percent,55.37176978402104
independent_validation,delta_locator_mm,mae,0.10427913149771802
independent_validation,delta_locator_mm,rmse,0.1669786019203305
independent_validation,delta_locator_mm,r2,0.05091095304529025
independent_validation,delta_locator_mm,improvement_vs_zero_percent,4.73437822933833
grouped_cross_validation,delta_locator_mm,mean_mae,0.1060869976448767
grouped_cross_validation,delta_locator_mm,mean_r2,0.03849283310229621
grouped_cross_validation,delta_theta_deg,mean_mae,0.004972189018401079
grouped_cross_validation,delta_theta_deg,mean_r2,0.7790282357445872
grouped_cross_validation,delta_z_mm,mean_mae,0.04896362107049536
grouped_cross_validation,delta_z_mm,mean_r2,0.15812564354124417
dataset,all,training_rows,3000.0
dataset,all,validation_rows,600.0
dataset,all,observable_feature_count,26.0
vector,all,mean_true_residual_vector_norm,0.13495413419819718
vector,all,mean_prediction_error_vector_norm,0.12188598179290705
vector,all,median_prediction_error_vector_norm,0.06964316290393108
