metric,value
sequence_length,10.0
nonlinearity_strength,1.0
training_assemblies,30.0
validation_assemblies,10.0
training_decisions,300.0
validation_decisions,100.0
train_validation_assembly_overlap,0.0
observable_feature_count,26.0
mean_lsq_true_quality,0.27874596983681094
mean_reference_true_quality,0.2293178352835803
reference_beats_lsq_percent,85.0
mean_reference_gain_over_lsq,0.049428134553230654
mean_reference_relative_gain_percent,14.296113820112259
mean_abs_target_delta_z_mm,0.061762924770200026
mean_abs_target_delta_theta_deg,0.00969584276549435
mean_abs_target_delta_locator_mm,0.1093376323325841
mean_reference_evaluations,728.76
lsq_solver_success_percent,100.0
reference_optimizer_success_percent,0.0
generation_runtime_seconds,39.33864784240723
