target,mae,rmse,r2,mean_abs_target,zero_prediction_mae,relative_mae_percent,improvement_vs_zero_percent,fold,test_rows,test_assemblies
delta_z_mm,0.07122398963893659,0.11482268376256131,-0.13590752228478054,0.07612185183471863,0.07612185183471863,93.56576058289195,6.43423941710804,1,60,6
delta_theta_deg,0.006346163732297425,0.008083281388335415,0.09470784830872214,0.007820766378329335,0.007820766378329335,81.14503650028588,18.854963499714113,1,60,6
delta_locator_mm,0.15537350095038652,0.22111009145411786,-0.05394740371285556,0.14924039368447403,0.14924039368447403,104.10954910697916,-4.10954910697916,1,60,6
delta_z_mm,0.05751814430696241,0.08850439364434515,-0.1248951938437366,0.06173602980178239,0.06173602980178239,93.16787051522026,6.832129484779739,2,60,6
delta_theta_deg,0.007753960192610387,0.009649783712518874,0.3151575611491807,0.010130807586767645,0.010130807586767645,76.53842130748018,23.46157869251981,2,60,6
delta_locator_mm,0.1454559638386866,0.2227679826138479,-0.08731221082535745,0.1370049144663287,0.1370049144663287,106.168427902953,-6.168427902953,2,60,6
delta_z_mm,0.04393527020970842,0.07289386576540421,0.09205316519956408,0.0566001708500786,0.0566001708500786,77.623918002091,22.376081997909008,3,60,6
delta_theta_deg,0.01125451444000649,0.015206210465183249,-0.21694231826825305,0.012679998648530973,0.012679998648530973,88.75800977557965,11.241990224420341,3,60,6
delta_locator_mm,0.10088520763573806,0.14686931103719264,-0.19674896615959758,0.08511852840640934,0.08511852840640934,118.5232046706079,-18.523204670607903,3,60,6
delta_z_mm,0.051972228058264895,0.09091470206293899,0.10161747937876109,0.05853076710349818,0.05853076710349818,88.79471537826247,11.20528462173752,4,60,6
delta_theta_deg,0.004977016596751238,0.006023030561848524,0.5835664365248395,0.007986655434828136,0.007986655434828136,62.316656044124656,37.683343955875344,4,60,6
delta_locator_mm,0.10132478507911584,0.16140149782771807,-0.11120113922636321,0.09802264361862527,0.09802264361862527,103.36875372728994,-3.3687537272899375,4,60,6
delta_z_mm,0.045037361028655645,0.07443632206189497,0.22786411824723996,0.05871904831924037,0.05871904831924037,76.69974619445311,23.300253805546898,5,60,6
delta_theta_deg,0.005541122449782768,0.0072694331343263995,0.488369842931177,0.008335160727082017,0.008335160727082017,66.47889142412028,33.52110857587972,5,60,6
delta_locator_mm,0.08847113848992302,0.13672873490516965,-0.304361897827788,0.07454775339999986,0.07454775339999986,118.67713573501625,-18.677135735016247,5,60,6
