scope,target,metric,value
independent_validation,delta_z_mm,mae,0.05121782490111862
independent_validation,delta_z_mm,rmse,0.14032580482059734
independent_validation,delta_z_mm,r2,0.008908562965684097
independent_validation,delta_z_mm,improvement_vs_zero_percent,14.675323793407346
independent_validation,delta_theta_deg,mae,0.008019425706136445
independent_validation,delta_theta_deg,rmse,0.010624024063849314
independent_validation,delta_theta_deg,r2,0.270995222179229
independent_validation,delta_theta_deg,improvement_vs_zero_percent,24.4258748537352
independent_validation,delta_locator_mm,mae,0.1155928273065132
independent_validation,delta_locator_mm,rmse,0.17698259985560774
independent_validation,delta_locator_mm,r2,-0.01812480045417053
independent_validation,delta_locator_mm,improvement_vs_zero_percent,-4.147075024950251
grouped_cross_validation,delta_locator_mm,mean_mae,0.11830211919877001
grouped_cross_validation,delta_locator_mm,mean_r2,-0.15071432355039235
grouped_cross_validation,delta_theta_deg,mean_mae,0.007174555482289661
grouped_cross_validation,delta_theta_deg,mean_r2,0.25297187412913325
grouped_cross_validation,delta_z_mm,mean_mae,0.053937398648505594
grouped_cross_validation,delta_z_mm,mean_r2,0.0321464093394096
dataset,all,training_rows,300.0
dataset,all,validation_rows,100.0
dataset,all,observable_feature_count,26.0
vector,all,mean_true_residual_vector_norm,0.1374182831626923
vector,all,mean_prediction_error_vector_norm,0.13541983700646482
vector,all,median_prediction_error_vector_norm,0.08106228346229782
