split,assembly_id,assembly_index,component_index,sequence_length,nonlinearity_strength,state_mean_gap,state_max_gap,state_parallelism,state_rms,state_quality,state_signed_mean,state_signed_end_difference,state_estimated_angle_deg,component_profile_rms,component_parallelism,lsq_z_adj_mm,lsq_theta_adj_deg,lsq_locator_offset_mm,lsq_utilization,state_profile_p000,state_profile_p010,state_profile_p020,state_profile_p030,state_profile_p040,state_profile_p050,state_profile_p060,state_profile_p070,state_profile_p080,state_profile_p090,state_profile_p100,pre_correction_quality,lsq_true_quality,composite_q_true_quality,composite_q_z_adj_mm,composite_q_theta_adj_deg,composite_q_locator_offset_mm,composite_q_utilization,composite_q_optimizer_success,composite_q_evaluations,composite_q_winning_start,numerical_reference_true_quality,numerical_reference_z_adj_mm,numerical_reference_theta_adj_deg,numerical_reference_locator_offset_mm,numerical_reference_utilization,numerical_reference_optimizer_success,numerical_reference_evaluations,numerical_reference_beats_composite_q,best_reference_source,best_reference_true_quality,best_reference_z_adj_mm,best_reference_theta_adj_deg,best_reference_locator_offset_mm,reference_gain_over_composite_q,reference_relative_gain_percent,target_delta_z_mm,target_delta_theta_deg,target_delta_locator_mm
development,DEVELOPMENT_0001,1,1,10,1.0,0.5981755121700606,1.1870141627160604,1.5369059887916519,0.6804481300588779,1.0646735121092197,-0.40214524083245456,-1.5369059887916519,-0.08805815733271465,0.6818330982420383,1.5383892678367743,0.29296386729512275,0.09752086900160623,0.36661468755602733,0.36661468755602733,0.5949715335287592,0.6098173807827455,-0.08482678032597199,-0.29802424499603625,-0.11034663537271236,-0.6304396328326082,-0.9611623335773448,-0.5890468600947749,-0.6473249779183569,-1.138506334655809,-0.9419344552628927,1.0646735121092197,0.30285099042947716,0.17810808552406593,0.2729402338146209,0.0793793787858304,0.37575953541849383,0.37575953541849383,True,4565,GRID,0.1782079333842841,0.27363002300765604,0.07938076225280906,0.35726596338040695,0.35726596338040695,False,1126,False,COMPOSITE_Q,0.17810808552406593,0.2729402338146209,0.0793793787858304,0.37575953541849383,0.0,0.0,0.0,0.0,0.0
development,DEVELOPMENT_0001,1,2,10,1.0,0.35533882382626303,0.920249759876027,1.0731786757537942,0.4312464752633842,0.7477548253631636,-0.1137280090397308,-1.0731786757537942,-0.06148858517841487,0.3531764959972008,1.0837518719438115,0.18703934131405248,0.07128919860636547,-0.24616846541939336,0.24616846541939336,0.3480461847707706,0.49877072370409525,-0.04747189683799018,-0.06134902530673857,0.37565754223522546,0.07407927826646749,-0.3698765860602382,-0.2092793730762659,-0.36365121759655267,-0.8688120029502268,-0.7251324909830236,0.7477548253631636,0.26666883232174105,0.16131938638974974,0.1622320386246541,0.056086779024595086,-0.22983137019823296,0.22983137019823296,True,4753,GRID,0.1614445692765357,0.16190531571134703,0.0560884062832292,-0.230719752878916,0.230719752878916,False,1242,False,COMPOSITE_Q,0.16131938638974974,0.1622320386246541,0.056086779024595086,-0.22983137019823296,0.0,0.0,0.0,0.0,0.0
development,DEVELOPMENT_0001,1,3,10,1.0,0.41645184979468,1.0814295291769225,1.2371105197440577,0.5008040252496829,0.8705779721396664,-0.2311714335411136,1.2371105197440577,0.07088117541273199,0.4244875311392738,1.2191857777520556,0.2805023483432802,-0.05168013863132349,-0.1656458178817971,0.1656458178817971,-1.0814295291769225,-0.31877804609188914,-0.9177156936948349,-0.7114924453971098,0.2355077676023868,-0.19606967159314093,-0.5035754079122231,0.3426530012651948,0.4474613262166414,-0.323558555907593,0.15568099056713533,0.8705779721396664,0.40384926542801314,0.3094244014014389,0.2572099198187991,-0.06416624960064687,-0.21979722538735177,0.21979722538735177,True,5169,GRID,0.30955258831815635,0.2571481257448549,-0.06417995861310448,-0.21638694754352916,0.21638694754352916,False,1302,False,COMPOSITE_Q,0.3094244014014389,0.2572099198187991,-0.06416624960064687,-0.21979722538735177,0.0,0.0,0.0,0.0,0.0
development,DEVELOPMENT_0001,1,4,10,1.0,0.4352142684326354,1.260921334462066,1.5989722769984391,0.5297595915899683,1.0415083231269389,-0.17866934730820597,1.5989722769984391,0.09161428495336262,0.49611739757963874,1.5616998867840126,0.1748510988546184,-0.07194846437728902,0.01282110600435591,0.06994043954184735,-1.260921334462066,-0.434852711279479,-0.8767323689746951,-0.5822952536485444,0.16349065953852396,-0.34663637564916716,-0.4199088562106439,0.5119105321337036,0.642404528490804,-0.09281907268578109,0.33805094253637324,1.0415083231269389,0.38838883393703494,0.30983654159372254,0.16459076951887283,-0.08238607320642637,-0.10971227105152798,0.10971227105152798,False,5145,GRID,0.30996326140556996,0.16271712618510775,-0.08238587030873995,-0.07776676853432737,0.07776676853432737,False,1254,False,COMPOSITE_Q,0.30983654159372254,0.16459076951887283,-0.08238607320642637,-0.10971227105152798,0.0,0.0,0.0,0.0,0.0
development,DEVELOPMENT_0001,1,5,10,1.0,0.3381498287370309,0.7662400041934159,0.02091239049741156,0.392636893481292,0.3768543563764867,0.09995409622896459,-0.02091239049741156,-0.001198191714856503,0.1503825758641339,0.04053803059809152,-0.1761365841455122,0.020948056619341973,0.2558093757193493,0.2558093757193493,-0.18547716788327845,0.5144484170508294,-0.006122812517690314,0.12577578836459977,0.5144540974268623,-0.30266713212783697,-0.3421322625141385,0.5259268382778135,0.5118477647454192,-0.41755450026956453,-0.20638955838069,0.3768543563764867,0.45192421064521704,0.3254499662343357,-0.13286489421032338,0.0011029166883824255,0.08425716081461145,0.08425716081461145,True,5141,GRID,0.3254684770629702,-0.13408930765257113,0.0011029075028196416,0.10554440686951397,0.10554440686951397,False,1090,False,COMPOSITE_Q,0.3254499662343357,-0.13286489421032338,0.0011029166883824255,0.08425716081461145,0.0,0.0,0.0,0.0,0.0
development,DEVELOPMENT_0001,1,6,10,1.0,0.670043747898421,1.5982218669915047,1.1735099473933044,0.8415384682620026,1.1166865155111692,-0.43692437871069906,-1.1735099473933044,-0.06723713633760643,0.6188333004835959,1.1849423036678894,0.23104873783712435,0.09537924462868198,0.691299544133827,0.691299544133827,0.11732575942057209,0.7958516474220505,-0.26885997291537683,-0.3435161865263825,0.17412701188337584,-1.1396701350412448,-1.387130822092698,-0.14345150544596683,-0.20897606348145295,-1.4669824019859579,-1.0561841879727323,1.1166865155111692,0.6774453012111775,0.4189033267790693,0.2285480222404494,0.05983660651719513,0.48899720526763524,0.48899720526763524,True,5809,GRID,0.4191835164196441,0.2286492409680979,0.059865793433262926,0.4911115448100283,0.4911115448100283,False,1150,False,COMPOSITE_Q,0.4189033267790693,0.2285480222404494,0.05983660651719513,0.48899720526763524,0.0,0.0,0.0,0.0,0.0
development,DEVELOPMENT_0001,1,7,10,1.0,0.37835495284868903,0.8552168466357243,0.8752168445239722,0.4471463892702342,0.6773512321295391,-0.10010335300394366,0.8752168445239722,0.050146218545907006,0.31862080975431667,0.8925444588005781,0.07186442689684662,-0.02772080517142313,0.09482208124201019,0.09482208124201019,-0.8552168466357243,-0.03526079340263705,-0.5990263000016108,-0.26380834219523164,0.45006284690263443,-0.48403080330422266,-0.4656164307031334,0.5416753467236068,0.551907479973594,-0.4045462038549605,0.019999997888247946,0.6773512321295391,0.49426763271110247,0.37312821462676893,0.0920335149580778,-0.04590213104181308,-0.045870885052554065,0.045870885052554065,True,5309,GRID,0.37322838212736764,0.09223103268227173,-0.04590980383996585,-0.04727727586460562,0.04727727586460562,False,1150,False,COMPOSITE_Q,0.37312821462676893,0.0920335149580778,-0.04590213104181308,-0.045870885052554065,0.0,0.0,0.0,0.0,0.0
development,DEVELOPMENT_0001,1,8,10,1.0,0.443211374869642,0.8774892375171173,0.011073801880903456,0.5028627844198645,0.4498186027222853,-0.4432062739824803,0.011073801880903456,0.0006344821109138655,0.4777302753554939,0.0005860769873314853,0.4061064931752376,0.011790435903139133,0.12457550320516657,0.16244259727009505,-0.6979489802723553,-0.2646618979810603,-0.5121470261304446,-0.34802500710567674,-0.12999730593477185,-0.7830858921554823,-0.6784596668882751,-0.19432642483488313,-0.21803943983178695,-0.7802235081063725,-0.6868751783914518,0.4498186027222853,0.3062870597206182,0.21671011373869936,0.40246342677120545,-0.0005796331482194871,-4.561966708394404e-05,0.16098537070848218,False,4869,GRID,0.21678790576506646,0.40181518986858283,-0.0005796377508423784,0.008047233590511892,0.16072607594743313,False,1126,False,COMPOSITE_Q,0.21671011373869936,0.40246342677120545,-0.0005796331482194871,-4.561966708394404e-05,0.0,0.0,0.0,0.0,0.0
development,DEVELOPMENT_0001,1,9,10,1.0,0.3493887210853642,0.705951671805766,0.29585230240010996,0.3977197546276573,0.44512978405013776,-0.02454018174338965,0.29585230240010996,0.016951087792186223,0.2248543977076391,0.26847295431283685,0.07893362618288827,0.006881709014881924,-0.18264503360057524,0.18264503360057524,-0.54871859438739,0.23023119621194507,-0.3956434315384035,-0.16456667678171868,0.6319660231971385,-0.13306589585054926,-0.386196977540717,0.4325700842290565,0.39286679095088306,-0.6175596742568964,-0.25286629198728006,0.44512978405013776,0.5057115489726244,0.3619739075024915,0.11711084901601872,-0.01565054555682445,-0.3451385993429137,0.3451385993429137,False,4989,LSQ_REFINED,0.3631669928235053,0.11473770524359217,-0.015460155350954663,-0.3416087963296396,0.3416087963296396,False,1642,False,COMPOSITE_Q,0.3619739075024915,0.11711084901601872,-0.01565054555682445,-0.3451385993429137,0.0,0.0,0.0,0.0,0.0
development,DEVELOPMENT_0001,1,10,10,1.0,0.4166119932079648,1.394475113446791,0.6854377099537552,0.5559720593123486,0.8045546509137881,-0.2924116508428874,-0.6854377099537552,-0.03927268174903587,0.3594482250453839,0.6646982043255774,0.32339048262979836,0.05883019030502066,-0.1040222738407459,0.12935619305191934,-0.4111854760394657,0.24630360531706666,-0.27232576346271753,-0.121528906459137,0.36371875380700325,-0.5275058399037446,-0.6957953422126744,0.009354750880947527,-0.14157580313699092,-1.2300044327309887,-1.096623185993221,0.8045546509137881,0.5132732640369043,0.34865096832552384,0.3419560316246285,0.03514478570653392,-0.2553783278807486,0.2553783278807486,True,5077,GRID,0.3487530576414888,0.3413704346746871,0.035165469852778575,-0.24727236450495005,0.24727236450495005,False,1282,False,COMPOSITE_Q,0.34865096832552384,0.3419560316246285,0.03514478570653392,-0.2553783278807486,0.0,0.0,0.0,0.0,0.0
