metric,value
sequence_length,10.0
nonlinearity_strength,1.0
training_assemblies,300.0
development_assemblies,100.0
training_decisions,3000.0
development_decisions,1000.0
train_development_assembly_overlap,0.0
observable_feature_count,26.0
mean_composite_q_true_quality,0.2276593114694123
mean_best_reference_true_quality,0.2276592794956567
high_budget_reference_beats_composite_q_percent,1.05
mean_reference_gain_over_composite_q,3.1973755588953625e-08
mean_reference_relative_gain_percent,1.2871611679244134e-05
zero_residual_target_percent,98.95
mean_abs_target_delta_z_mm,9.028637804702171e-07
mean_abs_target_delta_theta_deg,3.2214507990871617e-09
mean_abs_target_delta_locator_mm,1.195629394973912e-05
generation_runtime_seconds,1327.8655817508698
